timestamp (+0700),left-elapsed (s),x-axis (g)_x,y-axis (g)_x,z-axis (g)_x,right-elapsed (s),x-axis (g)_y,y-axis (g)_y,z-axis (g)_y
2021-11-30 10:10:44.248,,,,,0.0,0.94,-0.077,-0.035
2021-11-30 10:10:44.258,,,,,0.01,0.948,-0.076,-0.036
2021-11-30 10:10:44.268,,,,,0.02,0.944,-0.078,-0.037
2021-11-30 10:10:44.278,,,,,0.03,0.946,-0.076,-0.035
2021-11-30 10:10:44.288,,,,,0.04,0.948,-0.076,-0.034
2021-11-30 10:10:44.298,,,,,0.05,0.947,-0.079,-0.036
2021-11-30 10:10:44.308,,,,,0.06,0.947,-0.079,-0.038
2021-11-30 10:10:44.318,,,,,0.07,0.944,-0.078,-0.037
2021-11-30 10:10:44.328,,,,,0.08,0.946,-0.077,-0.036
2021-11-30 10:10:44.338,,,,,0.09,0.946,-0.076,-0.037
2021-11-30 10:10:44.348,,,,,0.1,0.944,-0.077,-0.032
2021-11-30 10:10:44.358,,,,,0.11,0.947,-0.077,-0.037
2021-11-30 10:10:44.368,,,,,0.12,0.944,-0.076,-0.039
2021-11-30 10:10:44.378,,,,,0.13,0.945,-0.077,-0.036
2021-11-30 10:10:44.388,,,,,0.14,0.945,-0.079,-0.037
2021-11-30 10:10:44.398,,,,,0.15,0.949,-0.076,-0.036
2021-11-30 10:10:44.408,,,,,0.16,0.946,-0.076,-0.037
2021-11-30 10:10:44.418,,,,,0.17,0.946,-0.076,-0.034
2021-11-30 10:10:44.428,,,,,0.18,0.947,-0.075,-0.036
2021-11-30 10:10:44.438,,,,,0.19,0.946,-0.075,-0.034
2021-11-30 10:10:44.448,,,,,0.2,0.946,-0.076,-0.036
2021-11-30 10:10:44.458,,,,,0.21,0.944,-0.077,-0.034
2021-11-30 10:10:44.468,,,,,0.22,0.945,-0.076,-0.033
2021-11-30 10:10:44.478,,,,,0.23,0.944,-0.075,-0.034
2021-11-30 10:10:44.488,,,,,0.24,0.945,-0.073,-0.035
2021-11-30 10:10:44.498,,,,,0.25,0.945,-0.073,-0.036
2021-11-30 10:10:44.508,,,,,0.26,0.946,-0.076,-0.034
2021-11-30 10:10:44.518,,,,,0.27,0.947,-0.076,-0.034
2021-11-30 10:10:44.528,,,,,0.28,0.947,-0.075,-0.032
2021-11-30 10:10:44.538,,,,,0.29,0.944,-0.076,-0.033
2021-11-30 10:10:44.548,,,,,0.3,0.945,-0.077,-0.035
2021-11-30 10:10:44.558,,,,,0.31,0.945,-0.073,-0.034
2021-11-30 10:10:44.568,,,,,0.32,0.947,-0.073,-0.035
2021-11-30 10:10:44.578,,,,,0.33,0.945,-0.072,-0.033
2021-11-30 10:10:44.588,,,,,0.34,0.944,-0.074,-0.034
2021-11-30 10:10:44.598,,,,,0.35,0.945,-0.074,-0.032
2021-11-30 10:10:44.608,,,,,0.36,0.944,-0.073,-0.031
2021-11-30 10:10:44.618,,,,,0.37,0.946,-0.071,-0.033
2021-11-30 10:10:44.628,,,,,0.38,0.948,-0.074,-0.032
2021-11-30 10:10:44.638,,,,,0.39,0.946,-0.074,-0.033
2021-11-30 10:10:44.648,,,,,0.4,0.945,-0.073,-0.03
2021-11-30 10:10:44.658,,,,,0.41,0.947,-0.073,-0.033
2021-11-30 10:10:44.668,,,,,0.42,0.945,-0.071,-0.036
2021-11-30 10:10:44.678,,,,,0.43,0.945,-0.074,-0.034
