timestamp (+0700),left-elapsed (s),left-x-axis (deg/s),left-y-axis (deg/s),left-z-axis (deg/s),right-elapsed (s),right-x-axis (deg/s),right-y-axis (deg/s),right-z-axis (deg/s)
2021-12-16 13:10:28.003,,,,,0.0,0.854,-0.61,-0.305
2021-12-16 13:10:28.013,,,,,0.01,0.549,-0.305,-0.427
2021-12-16 13:10:28.023,,,,,0.02,0.366,-0.427,-0.183
2021-12-16 13:10:28.033,,,,,0.03,0.549,-0.488,-0.122
2021-12-16 13:10:28.043,,,,,0.04,0.549,-0.427,-0.061
2021-12-16 13:10:28.053,,,,,0.05,0.549,-0.488,0.0
2021-12-16 13:10:28.063,,,,,0.06,0.488,-0.427,-0.061
2021-12-16 13:10:28.073,,,,,0.07,0.488,-0.305,-0.122
2021-12-16 13:10:28.083,,,,,0.08,0.427,-0.366,-0.061
2021-12-16 13:10:28.093,,,,,0.09,0.488,-0.427,-0.122
2021-12-16 13:10:28.103,,,,,0.1,0.488,-0.427,-0.122
2021-12-16 13:10:28.113,,,,,0.11,0.427,-0.366,-0.183
2021-12-16 13:10:28.123,,,,,0.12,0.366,-0.427,-0.183
2021-12-16 13:10:28.133,,,,,0.13,0.427,-0.488,-0.183
2021-12-16 13:10:28.143,,,,,0.14,0.488,-0.427,-0.183
2021-12-16 13:10:28.153,,,,,0.15,0.488,-0.488,-0.244
2021-12-16 13:10:28.163,,,,,0.16,0.488,-0.549,-0.244
2021-12-16 13:10:28.173,,,,,0.17,0.549,-0.671,-0.183
2021-12-16 13:10:28.183,,,,,0.18,0.488,-0.61,-0.183
2021-12-16 13:10:28.193,,,,,0.19,0.488,-0.61,-0.122
2021-12-16 13:10:28.203,,,,,0.2,0.549,-0.549,-0.183
2021-12-16 13:10:28.213,,,,,0.21,0.488,-0.549,-0.244
2021-12-16 13:10:28.223,,,,,0.22,0.488,-0.61,-0.244
2021-12-16 13:10:28.233,,,,,0.23,0.488,-0.61,-0.183
2021-12-16 13:10:28.243,,,,,0.24,0.427,-0.671,-0.183
2021-12-16 13:10:28.253,,,,,0.25,0.488,-0.732,-0.183
2021-12-16 13:10:28.263,,,,,0.26,0.366,-0.793,-0.183
2021-12-16 13:10:28.273,,,,,0.27,0.427,-0.793,-0.244
2021-12-16 13:10:28.283,,,,,0.28,0.488,-0.793,-0.244
2021-12-16 13:10:28.293,,,,,0.29,0.549,-0.793,-0.183
2021-12-16 13:10:28.303,,,,,0.3,0.61,-0.732,-0.183
