epoc (ms),timestamp (+0700),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1638241845343,2021-11-30T10.10.45.343,0.000,0.549,0.244,-0.366
1638241845353,2021-11-30T10.10.45.353,0.010,0.854,0.122,-0.488
1638241845363,2021-11-30T10.10.45.363,0.020,0.488,0.122,-0.427
1638241845373,2021-11-30T10.10.45.373,0.030,0.427,0.244,-0.366
1638241845383,2021-11-30T10.10.45.383,0.040,0.549,0.305,-0.366
1638241845393,2021-11-30T10.10.45.393,0.050,0.610,0.427,-0.305
1638241845403,2021-11-30T10.10.45.403,0.060,0.549,0.488,-0.305
1638241845413,2021-11-30T10.10.45.413,0.070,0.610,0.427,-0.427
1638241845423,2021-11-30T10.10.45.423,0.080,0.671,0.488,-0.427
1638241845433,2021-11-30T10.10.45.433,0.090,0.793,0.610,-0.427
1638241845443,2021-11-30T10.10.45.443,0.100,0.793,0.610,-0.366
1638241845453,2021-11-30T10.10.45.453,0.110,0.915,0.610,-0.427
1638241845463,2021-11-30T10.10.45.463,0.120,0.915,0.549,-0.488
1638241845473,2021-11-30T10.10.45.473,0.130,0.793,0.610,-0.549
1638241845483,2021-11-30T10.10.45.483,0.140,0.793,0.671,-0.488
1638241845493,2021-11-30T10.10.45.493,0.150,0.732,0.671,-0.488
1638241845503,2021-11-30T10.10.45.503,0.160,0.671,0.732,-0.671
1638241845513,2021-11-30T10.10.45.513,0.170,0.793,0.732,-0.549
1638241845523,2021-11-30T10.10.45.523,0.180,0.793,0.671,-0.549
1638241845533,2021-11-30T10.10.45.533,0.190,0.793,0.671,-0.549
1638241845543,2021-11-30T10.10.45.543,0.200,0.671,0.671,-0.488
1638241845553,2021-11-30T10.10.45.553,0.210,0.610,0.610,-0.366
1638241845563,2021-11-30T10.10.45.563,0.220,0.610,0.671,-0.488
1638241845573,2021-11-30T10.10.45.573,0.230,0.549,0.671,-0.549
1638241845583,2021-11-30T10.10.45.583,0.240,0.610,0.732,-0.488
1638241845593,2021-11-30T10.10.45.593,0.250,0.671,0.732,-0.488
1638241845603,2021-11-30T10.10.45.603,0.260,0.549,0.732,-0.427
1638241845613,2021-11-30T10.10.45.613,0.270,0.549,0.671,-0.488
1638241845623,2021-11-30T10.10.45.623,0.280,0.427,0.671,-0.488
1638241845633,2021-11-30T10.10.45.633,0.290,0.549,0.610,-0.427
1638241845643,2021-11-30T10.10.45.643,0.300,0.549,0.610,-0.366
1638241845653,2021-11-30T10.10.45.653,0.310,0.488,0.549,-0.427
1638241845663,2021-11-30T10.10.45.663,0.320,0.549,0.488,-0.488
1638241845673,2021-11-30T10.10.45.673,0.330,0.610,0.549,-0.488
1638241845683,2021-11-30T10.10.45.683,0.340,0.549,0.488,-0.366
1638241845693,2021-11-30T10.10.45.693,0.350,0.488,0.488,-0.427
1638241845703,2021-11-30T10.10.45.703,0.360,0.488,0.549,-0.427
1638241845713,2021-11-30T10.10.45.713,0.370,0.427,0.671,-0.488
1638241845723,2021-11-30T10.10.45.723,0.380,0.244,0.610,-0.488
1638241845733,2021-11-30T10.10.45.733,0.390,0.366,0.610,-0.366
1638241845743,2021-11-30T10.10.45.743,0.400,0.488,0.549,-0.366
1638241845753,2021-11-30T10.10.45.753,0.410,0.488,0.488,-0.366
1638241845763,2021-11-30T10.10.45.763,0.420,0.427,0.549,-0.244
1638241845773,2021-11-30T10.10.45.773,0.430,0.366,0.549,-0.366
1638241845783,2021-11-30T10.10.45.783,0.440,0.366,0.488,-0.366
1638241845793,2021-11-30T10.10.45.793,0.450,0.366,0.610,-0.305
1638241845803,2021-11-30T10.10.45.803,0.460,0.427,0.732,-0.305
1638241845813,2021-11-30T10.10.45.813,0.470,0.427,0.671,-0.305
1638241845823,2021-11-30T10.10.45.823,0.480,0.305,0.732,-0.366
1638241845833,2021-11-30T10.10.45.833,0.490,0.244,0.793,-0.366
1638241845843,2021-11-30T10.10.45.843,0.500,0.244,0.732,-0.183
1638241845853,2021-11-30T10.10.45.853,0.510,0.183,0.793,-0.183
1638241845863,2021-11-30T10.10.45.863,0.520,0.244,0.793,-0.183
1638241845873,2021-11-30T10.10.45.873,0.530,0.305,0.793,-0.122
1638241845883,2021-11-30T10.10.45.883,0.540,0.244,0.854,-0.122
1638241845893,2021-11-30T10.10.45.893,0.550,0.183,0.854,-0.061
1638241845903,2021-11-30T10.10.45.903,0.560,0.183,0.854,-0.061
1638241845913,2021-11-30T10.10.45.913,0.570,0.183,0.732,0.061
1638241845923,2021-11-30T10.10.45.923,0.580,0.366,0.732,0.122
1638241845933,2021-11-30T10.10.45.933,0.590,0.366,0.671,0.183
