timestamp (+0700),left-elapsed (s),left-x-axis (deg/s),left-y-axis (deg/s),left-z-axis (deg/s),right-elapsed (s),right-x-axis (deg/s),right-y-axis (deg/s),right-z-axis (deg/s)
2021-11-30 10:10:45.343,0.0,0.549,0.244,-0.366,1.06,0.366,0.244,-0.793
2021-11-30 10:10:45.348,0.0,0.549,0.244,-0.366,1.07,0.244,0.244,-0.732
2021-11-30 10:10:45.353,0.01,0.854,0.122,-0.488,1.07,0.244,0.244,-0.732
2021-11-30 10:10:45.358,0.01,0.854,0.122,-0.488,1.08,0.061,0.244,-0.732
2021-11-30 10:10:45.363,0.02,0.488,0.122,-0.427,1.08,0.061,0.244,-0.732
2021-11-30 10:10:45.368,0.02,0.488,0.122,-0.427,1.09,0.122,0.366,-0.732
2021-11-30 10:10:45.373,0.03,0.427,0.244,-0.366,1.09,0.122,0.366,-0.732
2021-11-30 10:10:45.378,0.03,0.427,0.244,-0.366,1.1,0.305,0.427,-0.793
2021-11-30 10:10:45.383,0.04,0.549,0.305,-0.366,1.1,0.305,0.427,-0.793
2021-11-30 10:10:45.388,0.04,0.549,0.305,-0.366,1.11,0.244,0.427,-0.793
2021-11-30 10:10:45.393,0.05,0.61,0.427,-0.305,1.11,0.244,0.427,-0.793
2021-11-30 10:10:45.398,0.05,0.61,0.427,-0.305,1.12,0.183,0.488,-0.854
2021-11-30 10:10:45.403,0.06,0.549,0.488,-0.305,1.12,0.183,0.488,-0.854
2021-11-30 10:10:45.408,0.06,0.549,0.488,-0.305,1.13,0.183,0.488,-0.793
2021-11-30 10:10:45.413,0.07,0.61,0.427,-0.427,1.13,0.183,0.488,-0.793
2021-11-30 10:10:45.418,0.07,0.61,0.427,-0.427,1.14,0.183,0.549,-0.793
2021-11-30 10:10:45.423,0.08,0.671,0.488,-0.427,1.14,0.183,0.549,-0.793
2021-11-30 10:10:45.428,0.08,0.671,0.488,-0.427,1.15,0.244,0.488,-0.671
2021-11-30 10:10:45.433,0.09,0.793,0.61,-0.427,1.15,0.244,0.488,-0.671
2021-11-30 10:10:45.438,0.09,0.793,0.61,-0.427,1.16,0.244,0.366,-0.732
