source,feature,combined_rank,combined_rank_score,anova_rank,anova_f_score,p_value,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Accelerometer,accx_psdMean,1,3,2,47.11213349826093,8.379555383621234e-13,1,True,5,0.6646899649187522
Accelerometer,accx_meanVal,2,6,5,41.725973007861704,6.8848138297416996e-12,1,True,5,0.6450935009598027
Accelerometer,accx_mavVal,3,8,4,41.73509841872712,6.859365479851645e-12,4,False,5,
Accelerometer,accx_harmonicRatio,4,10,9,24.96054219117277,1.637298177526479e-08,1,True,5,1.0307641255660798
Accelerometer,accx_peakToPeak,5,11,10,22.85456086189903,5.14726400347132e-08,1,True,5,0.4504483492878973
Accelerometer,accx_varVal,6,12,7,28.87756891987487,2.1823651921924956e-09,5,False,5,
Accelerometer,accx_maxVal,7,14,8,25.29098166350289,1.37359472320834e-08,6,False,5,
Accelerometer,accx_rmsVal,8,15,1,50.55030640671263,2.3595387689896196e-13,14,False,5,
Accelerometer,accx_sdVal,8,15,3,44.348548031576286,2.421490985626061e-12,12,False,5,
Accelerometer,accx_minVal,8,15,14,10.041712023781361,0.0001836728436440467,1,True,5,0.5948771231198435
Accelerometer,accz_rmsVal,9,23,20,7.596739564327775,0.0011891624651806697,3,False,5,
Accelerometer,accx_cvVal,10,26,6,33.87154032026746,2.0228520985933302e-10,20,False,5,
Accelerometer,accy_maxVal,10,26,17,8.87446045776815,0.00044125836607399564,9,False,5,
Accelerometer,accx_specEntropy,11,30,15,9.488589750181603,0.00027730846135489524,15,False,5,
Accelerometer,accy_rmsVal,12,34,13,10.086488746521766,0.0001776943319161264,21,False,5,
Accelerometer,accy_domFreq,13,35,16,8.939330543933053,0.00041997978575020574,19,False,5,
Accelerometer,accy_mavVal,14,36,18,8.367773770449615,0.0006510906584998753,18,False,5,
Accelerometer,accy_domAmp,14,36,29,3.396086260645934,0.0404168712411561,7,False,5,
Accelerometer,accx_meanFreq,15,37,12,12.763407779191843,2.62708058704691e-05,25,False,5,
Accelerometer,accz_meanVal,16,38,36,1.083830771870386,0.34516586401721633,2,False,5,
Accelerometer,accz_peakToPeak,17,46,23,5.731667279389723,0.005393603534857084,23,False,5,
Accelerometer,accy_peakToPeak,18,47,30,3.105739262109792,0.0524504055103515,17,False,5,
Accelerometer,accz_maxVal,19,48,19,7.794478715863644,0.001017706292543706,29,False,5,
Accelerometer,accy_medianFreq,19,48,32,2.021814013067956,0.14180246295729054,16,False,5,
Accelerometer,accy_sdVal,20,51,11,14.573300415371857,7.729408009863686e-06,40,False,5,
Accelerometer,accz_mavVal,20,51,25,5.403454116913385,0.007097837077238874,26,False,5,
Accelerometer,accy_specEntropy,20,51,38,1.0513030377081192,0.356159390706223,13,False,5,
Accelerometer,accz_minVal,21,53,31,2.2442591186327547,0.11529317633987525,22,False,5,
Accelerometer,accz_sdVal,22,55,22,6.169158700021535,0.003755730107849882,33,False,5,
Accelerometer,accz_harmonicRatio,22,55,45,0.4485871386871664,0.6407644299819695,10,False,5,
Accelerometer,accz_domFreq,23,57,46,0.3666440970084944,0.6946787667751496,11,False,5,
Accelerometer,accy_cvVal,24,58,26,4.97927404634611,0.01016158815194433,32,False,5,
Accelerometer,accy_harmonicRatio,24,58,50,0.0689977572359904,0.9334066034171862,8,False,5,
Accelerometer,accy_psdMean,25,59,24,5.4617922221317405,0.006758438900598564,35,False,5,
Accelerometer,accz_psdMean,26,61,27,4.5244462275665915,0.015006019635676169,34,False,5,
Accelerometer,accy_meanVal,26,61,34,1.5687481682274238,0.21716563303102376,27,False,5,
Accelerometer,accz_varVal,27,65,28,4.363617192159172,0.01724609052202817,37,False,5,
Accelerometer,accx_domAmp,27,65,35,1.1155342867095144,0.33478863512434015,30,False,5,
Accelerometer,accy_varVal,28,67,21,6.72492481751795,0.0023869942739019466,46,False,5,
Accelerometer,accy_minVal,29,70,42,0.8667326144013621,0.42578767353268765,28,False,5,
Accelerometer,accz_specEntropy,30,72,48,0.25658827182003063,0.7745755218562882,24,False,5,
Accelerometer,accy_meanFreq,31,75,33,1.9100896721524714,0.15742512183361335,42,False,5,
Accelerometer,accz_medianFreq,31,75,44,0.7499539677955085,0.476991546455629,31,False,5,
Accelerometer,accz_domAmp,32,81,37,1.062278142985887,0.352410138044489,44,False,5,
Accelerometer,accz_meanFreq,32,81,43,0.8020483726119966,0.4534047366366202,38,False,5,
Accelerometer,accx_domFreq,33,83,47,0.33311688311688326,0.7180722170400982,36,False,5,
Accelerometer,accx_psdAsymmetry,34,84,39,1.0167339624680336,0.3682408232071394,45,False,5,
Accelerometer,accy_psdAsymmetry,34,84,41,0.9597070003083743,0.38910646887427036,43,False,5,
Accelerometer,accz_psdAsymmetry,35,87,40,0.9761996902915635,0.38294909187789605,47,False,5,
Accelerometer,accx_medianFreq,36,88,49,0.2286096256684494,0.7963650315110661,39,False,5,
Accelerometer,accz_cvVal,37,92,51,0.061416096824797754,0.9404939928893703,41,False,5,
