source,feature,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Accelerometer + EMG,BFinter_cvVal,1,True,189,0.6574160356704298
Accelerometer + EMG,TAinter_harmonicRatio,1,True,189,0.5500387930283938
Accelerometer + EMG,MGinter_cvVal,1,True,189,0.4897047421497978
Accelerometer + EMG,accz_meanVal,1,True,189,0.4868202390045527
Accelerometer + EMG,MGinter_psdAsymmetry,1,True,189,0.48536676818244134
Accelerometer + EMG,RFinter_minVal,1,True,189,0.45579455150858766
Accelerometer + EMG,GMinter_psdAsymmetry,1,True,189,0.3475591508989659
Accelerometer + EMG,PLinter_harmonicRatio,1,True,189,0.3411208169830007
Accelerometer + EMG,MGinter_minVal,1,True,189,0.3179131841893834
Accelerometer + EMG,accz_domFreq,1,True,189,0.31744598332919943
Accelerometer + EMG,PLinter_cvVal,1,True,189,0.31221454252686204
Accelerometer + EMG,GMinter_domFreq,1,True,189,0.2811764579566078
Accelerometer + EMG,accx_domAmp,1,True,189,0.276514859729101
Accelerometer + EMG,MGinter_domFreq,1,True,189,0.2762752979897841
Accelerometer + EMG,accx_minVal,1,True,189,0.2740604527735558
Accelerometer + EMG,accx_rmsVal,1,True,189,0.2698274892489807
Accelerometer + EMG,accx_psdMean,1,True,189,0.2697688010688957
Accelerometer + EMG,TAinter_cvVal,1,True,189,0.26452206991767924
Accelerometer + EMG,accx_meanVal,1,True,189,0.257950300443678
Accelerometer + EMG,accx_mavVal,1,True,189,0.2578092995077385
Accelerometer + EMG,accy_harmonicRatio,1,True,189,0.2566594379932908
Accelerometer + EMG,accy_domAmp,1,True,189,0.2538211428081684
Accelerometer + EMG,GMinter_harmonicRatio,1,True,189,0.25350224348865097
Accelerometer + EMG,accx_varVal,1,True,189,0.25314796716790544
Accelerometer + EMG,accx_sdVal,1,True,189,0.2506338425421957
Accelerometer + EMG,GMinter_cvVal,1,True,189,0.23781234233772763
Accelerometer + EMG,accy_maxVal,1,True,189,0.23201718145995218
Accelerometer + EMG,MGinter_meanFreq,1,True,189,0.22554374997387514
Accelerometer + EMG,accx_harmonicRatio,1,True,189,0.22285936743213777
Accelerometer + EMG,accz_harmonicRatio,1,True,189,0.2211161039879507
Accelerometer + EMG,accx_cvVal,1,True,189,0.21378030200131093
Accelerometer + EMG,accy_medianFreq,1,True,189,0.21374635749297258
Accelerometer + EMG,BFinter_specEntropy,1,True,189,0.21155256606855907
Accelerometer + EMG,MGinter_medianFreq,1,True,189,0.20070804887581692
Accelerometer + EMG,accz_minVal,1,True,189,0.1986520224201649
Accelerometer + EMG,accy_specEntropy,1,True,189,0.19557066500271447
Accelerometer + EMG,accx_maxVal,1,True,189,0.19532609956937944
Accelerometer + EMG,accz_rmsVal,1,True,189,0.18652825037003598
Accelerometer + EMG,accz_sdVal,1,True,189,0.18613492888006436
Accelerometer + EMG,TAinter_domFreq,1,True,189,0.17865470626365101
Accelerometer + EMG,TAinter_psdAsymmetry,1,True,189,0.17781190987582574
Accelerometer + EMG,RFinter_psdAsymmetry,1,True,189,0.17492108275205512
Accelerometer + EMG,accx_peakToPeak,1,True,189,0.1745994339492314
Accelerometer + EMG,PLinter_psdAsymmetry,1,True,189,0.17223433011635403
Accelerometer + EMG,accx_domFreq,1,True,189,0.16884409733265848
Accelerometer + EMG,TAinter_minVal,1,True,189,0.16582841889522296
Accelerometer + EMG,BFinter_logDetector,1,True,189,0.1597637170242409
Accelerometer + EMG,RFinter_domFreq,1,True,189,0.15650981652004906
Accelerometer + EMG,accy_rmsVal,1,True,189,0.1535735725911839
Accelerometer + EMG,PLinter_meanFreq,1,True,189,0.1493528977173563
Accelerometer + EMG,BFinter_psdAsymmetry,1,True,189,0.1452288063372302
Accelerometer + EMG,accx_meanFreq,1,True,189,0.1402741147355784
Accelerometer + EMG,BFinter_waveformLength,1,True,189,0.13810507964454008
Accelerometer + EMG,accy_peakToPeak,1,True,189,0.12967355233795874
Accelerometer + EMG,PLinter_specEntropy,1,True,189,0.12490189958257618
Accelerometer + EMG,RFinter_meanFreq,1,True,189,0.12288970364663672
Accelerometer + EMG,accz_mavVal,1,True,189,0.12067659938891355
Accelerometer + EMG,GMinter_meanFreq,1,True,189,0.11701149235741133
Accelerometer + EMG,PLinter_minVal,1,True,189,0.11472297533766986
Accelerometer + EMG,accy_meanVal,1,True,189,0.11420358817333448
Accelerometer + EMG,BFinter_harmonicRatio,1,True,189,0.1117818034722522
