source,feature,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Accelerometer,accz_meanVal,1,True,20,0.6633718196316988
Accelerometer,accx_minVal,1,True,20,0.6562408054581258
Accelerometer,accz_harmonicRatio,1,True,20,0.5675924491570989
Accelerometer,accy_domAmp,1,True,20,0.539332150499856
Accelerometer,accy_maxVal,1,True,20,0.525685102577359
Accelerometer,accz_rmsVal,1,True,20,0.5199845915980928
Accelerometer,accx_peakToPeak,1,True,20,0.5097450850449922
Accelerometer,accz_domFreq,1,True,20,0.46335048074787366
Accelerometer,accx_harmonicRatio,1,True,20,0.43505292032396986
Accelerometer,accy_harmonicRatio,1,True,20,0.3932287143753877
Accelerometer,accx_maxVal,1,True,20,0.3904094268816099
Accelerometer,accy_specEntropy,1,True,20,0.3672942479594174
Accelerometer,accx_psdMean,1,True,20,0.3658567978393618
Accelerometer,accx_sdVal,1,True,20,0.3582340251129641
Accelerometer,accx_rmsVal,1,True,20,0.35187908511180727
Accelerometer,accx_meanVal,1,True,20,0.3496399670587606
Accelerometer,accx_mavVal,1,True,20,0.34928013703144817
Accelerometer,accx_varVal,1,True,20,0.34351350083828125
Accelerometer,accx_specEntropy,1,True,20,0.30107213252664256
Accelerometer,accy_medianFreq,1,True,20,0.2914984762018853
Accelerometer,accy_peakToPeak,2,False,20,
Accelerometer,accy_mavVal,3,False,20,
Accelerometer,accy_domFreq,4,False,20,
Accelerometer,accx_cvVal,5,False,20,
Accelerometer,accy_rmsVal,6,False,20,
Accelerometer,accz_minVal,7,False,20,
Accelerometer,accz_peakToPeak,8,False,20,
Accelerometer,accz_specEntropy,9,False,20,
Accelerometer,accx_meanFreq,10,False,20,
Accelerometer,accz_mavVal,11,False,20,
Accelerometer,accy_meanVal,12,False,20,
Accelerometer,accy_minVal,13,False,20,
Accelerometer,accz_maxVal,14,False,20,
Accelerometer,accx_domAmp,15,False,20,
Accelerometer,accz_medianFreq,16,False,20,
Accelerometer,accy_cvVal,17,False,20,
Accelerometer,accz_sdVal,18,False,20,
Accelerometer,accz_psdMean,19,False,20,
Accelerometer,accy_psdMean,20,False,20,
Accelerometer,accx_domFreq,21,False,20,
Accelerometer,accz_varVal,22,False,20,
Accelerometer,accz_meanFreq,23,False,20,
Accelerometer,accx_medianFreq,24,False,20,
Accelerometer,accy_sdVal,25,False,20,
Accelerometer,accz_cvVal,26,False,20,
Accelerometer,accy_meanFreq,27,False,20,
Accelerometer,accy_psdAsymmetry,28,False,20,
Accelerometer,accz_domAmp,29,False,20,
Accelerometer,accx_psdAsymmetry,30,False,20,
Accelerometer,accy_varVal,31,False,20,
Accelerometer,accz_psdAsymmetry,32,False,20,
