source,feature,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
All sensors,MGinter_cvVal,1,True,10,0.8891142191706365
All sensors,gyroz_maxVal,1,True,10,0.7732783977265423
All sensors,BFinter_cvVal,1,True,10,0.7491356680759994
All sensors,GMinter_psdAsymmetry,1,True,10,0.6949797071318643
All sensors,gyroz_varVal,1,True,10,0.666870371858578
All sensors,gyroz_domAmp,1,True,10,0.6594559510099018
All sensors,gyroy_minVal,1,True,10,0.6124060578925214
All sensors,gyrox_domFreq,1,True,10,0.6111754704876255
All sensors,accz_meanVal,1,True,10,0.5423108904684871
All sensors,gyrox_cvVal,1,True,10,0.4944533528964216
All sensors,gyroz_cvVal,2,False,10,
All sensors,MGinter_psdAsymmetry,3,False,10,
All sensors,BFinter_logDetector,4,False,10,
All sensors,TAinter_harmonicRatio,5,False,10,
All sensors,gyroz_psdMean,6,False,10,
All sensors,gyroz_meanFreq,7,False,10,
All sensors,PLinter_cvVal,8,False,10,
All sensors,RFinter_minVal,9,False,10,
All sensors,accz_rmsVal,10,False,10,
All sensors,gyroz_peakToPeak,11,False,10,
All sensors,BFinter_waveformLength,12,False,10,
All sensors,gyroz_specEntropy,13,False,10,
All sensors,accy_domAmp,14,False,10,
All sensors,gyroz_meanVal,15,False,10,
All sensors,gyroy_peakToPeak,16,False,10,
All sensors,gyrox_harmonicRatio,17,False,10,
All sensors,MGinter_minVal,18,False,10,
All sensors,TAinter_psdAsymmetry,19,False,10,
All sensors,GMinter_harmonicRatio,20,False,10,
All sensors,gyroz_mavVal,21,False,10,
All sensors,accx_minVal,22,False,10,
All sensors,accy_specEntropy,23,False,10,
All sensors,RFinter_meanFreq,24,False,10,
All sensors,gyrox_mavVal,25,False,10,
All sensors,gyroz_sdVal,26,False,10,
All sensors,accy_maxVal,27,False,10,
All sensors,accy_harmonicRatio,28,False,10,
All sensors,BFinter_specEntropy,29,False,10,
All sensors,gyroz_harmonicRatio,30,False,10,
All sensors,GMinter_meanFreq,31,False,10,
All sensors,PLinter_harmonicRatio,32,False,10,
All sensors,accx_meanVal,33,False,10,
All sensors,gyroy_meanVal,34,False,10,
All sensors,accz_minVal,35,False,10,
All sensors,TAinter_cvVal,36,False,10,
All sensors,gyroz_rmsVal,37,False,10,
All sensors,GMinter_domFreq,38,False,10,
All sensors,BFinter_mavVal,39,False,10,
All sensors,RFinter_psdAsymmetry,40,False,10,
All sensors,accx_mavVal,41,False,10,
All sensors,accy_medianFreq,42,False,10,
All sensors,gyrox_medianFreq,43,False,10,
All sensors,MGinter_meanFreq,44,False,10,
All sensors,MGinter_domFreq,45,False,10,
All sensors,accy_meanVal,46,False,10,
All sensors,accz_domFreq,47,False,10,
All sensors,accx_domAmp,48,False,10,
All sensors,RFinter_cvVal,49,False,10,
All sensors,accx_peakToPeak,50,False,10,
All sensors,gyroy_cvVal,51,False,10,
All sensors,gyroz_minVal,52,False,10,
All sensors,gyrox_specEntropy,53,False,10,
All sensors,accx_varVal,54,False,10,
All sensors,PLinter_varVal,55,False,10,
All sensors,gyroy_rmsVal,56,False,10,
All sensors,MGinter_harmonicRatio,57,False,10,
All sensors,GMinter_minVal,58,False,10,
All sensors,GMinter_cvVal,59,False,10,
All sensors,accx_rmsVal,60,False,10,
All sensors,gyroz_psdAsymmetry,61,False,10,
All sensors,gyroz_domFreq,62,False,10,
All sensors,accz_sdVal,63,False,10,
All sensors,accx_harmonicRatio,64,False,10,
All sensors,PLinter_psdMean,65,False,10,
All sensors,accz_harmonicRatio,66,False,10,
All sensors,accy_rmsVal,67,False,10,
All sensors,MGinter_medianFreq,68,False,10,
All sensors,BFinter_minVal,69,False,10,
All sensors,TAinter_minVal,70,False,10,
All sensors,PLinter_psdAsymmetry,71,False,10,
All sensors,PLinter_meanPowerFreq,72,False,10,
All sensors,gyrox_rmsVal,73,False,10,
All sensors,accx_sdVal,74,False,10,
All sensors,RFinter_domFreq,75,False,10,
All sensors,accx_domFreq,76,False,10,
All sensors,gyroy_mavVal,77,False,10,
All sensors,BFinter_meanFreq,78,False,10,
All sensors,accx_psdMean,79,False,10,
All sensors,gyroy_domFreq,80,False,10,
All sensors,GMinter_cwtMean,81,False,10,
All sensors,accy_domFreq,82,False,10,
All sensors,gyrox_sdVal,83,False,10,
All sensors,accx_cvVal,84,False,10,
All sensors,gyroz_medianFreq,85,False,10,
All sensors,gyroy_harmonicRatio,86,False,10,
All sensors,gyroy_medianFreq,87,False,10,
All sensors,gyrox_meanVal,88,False,10,
All sensors,GMinter_medianFreq,89,False,10,
All sensors,PLinter_maxVal,90,False,10,
All sensors,GMinter_emdEnergy,91,False,10,
All sensors,gyrox_domAmp,92,False,10,
All sensors,gyroy_domAmp,93,False,10,
All sensors,accz_varVal,94,False,10,
All sensors,accx_maxVal,95,False,10,
All sensors,gyrox_meanFreq,96,False,10,
All sensors,gyrox_maxVal,97,False,10,
All sensors,BFinter_domFreq,98,False,10,
All sensors,accx_meanFreq,99,False,10,
All sensors,PLinter_peakToPeak,100,False,10,
All sensors,GMinter_peakToPeak,101,False,10,
All sensors,accy_mavVal,102,False,10,
All sensors,MGinter_cwtMean,103,False,10,
