source,feature,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Gyroscope + Accelerometer,gyroz_maxVal,1,True,5,1.1928999441581718
Gyroscope + Accelerometer,gyroz_varVal,1,True,5,0.7730138168020719
Gyroscope + Accelerometer,gyroz_psdMean,1,True,5,0.7692215265192339
Gyroscope + Accelerometer,gyroz_cvVal,1,True,5,0.6901868167363138
Gyroscope + Accelerometer,gyroz_domAmp,1,True,5,0.6719434171867201
Gyroscope + Accelerometer,gyroz_peakToPeak,2,False,5,
Gyroscope + Accelerometer,gyrox_specEntropy,3,False,5,
Gyroscope + Accelerometer,accy_harmonicRatio,4,False,5,
Gyroscope + Accelerometer,gyrox_cvVal,5,False,5,
Gyroscope + Accelerometer,gyroy_minVal,6,False,5,
Gyroscope + Accelerometer,accz_meanVal,7,False,5,
Gyroscope + Accelerometer,gyroz_meanFreq,8,False,5,
Gyroscope + Accelerometer,accz_rmsVal,9,False,5,
Gyroscope + Accelerometer,accx_minVal,10,False,5,
Gyroscope + Accelerometer,gyroz_minVal,11,False,5,
Gyroscope + Accelerometer,accx_specEntropy,12,False,5,
Gyroscope + Accelerometer,gyroy_medianFreq,13,False,5,
Gyroscope + Accelerometer,accy_rmsVal,14,False,5,
Gyroscope + Accelerometer,accy_domFreq,15,False,5,
Gyroscope + Accelerometer,gyroz_medianFreq,16,False,5,
Gyroscope + Accelerometer,gyroz_domFreq,17,False,5,
Gyroscope + Accelerometer,gyrox_domFreq,18,False,5,
Gyroscope + Accelerometer,gyroz_sdVal,19,False,5,
Gyroscope + Accelerometer,accx_harmonicRatio,20,False,5,
Gyroscope + Accelerometer,gyroz_rmsVal,21,False,5,
Gyroscope + Accelerometer,gyroz_meanVal,22,False,5,
Gyroscope + Accelerometer,gyrox_mavVal,23,False,5,
Gyroscope + Accelerometer,gyroz_specEntropy,24,False,5,
Gyroscope + Accelerometer,accy_maxVal,25,False,5,
Gyroscope + Accelerometer,accy_meanVal,26,False,5,
Gyroscope + Accelerometer,gyroy_meanVal,27,False,5,
Gyroscope + Accelerometer,gyroy_maxVal,28,False,5,
Gyroscope + Accelerometer,accz_minVal,29,False,5,
Gyroscope + Accelerometer,accz_maxVal,30,False,5,
Gyroscope + Accelerometer,gyroz_psdAsymmetry,31,False,5,
Gyroscope + Accelerometer,gyroz_mavVal,32,False,5,
Gyroscope + Accelerometer,gyrox_meanVal,33,False,5,
Gyroscope + Accelerometer,accx_peakToPeak,34,False,5,
Gyroscope + Accelerometer,gyrox_maxVal,35,False,5,
Gyroscope + Accelerometer,accz_domFreq,36,False,5,
Gyroscope + Accelerometer,accz_harmonicRatio,37,False,5,
Gyroscope + Accelerometer,accx_psdMean,38,False,5,
Gyroscope + Accelerometer,accy_peakToPeak,39,False,5,
Gyroscope + Accelerometer,accx_meanFreq,40,False,5,
Gyroscope + Accelerometer,gyroy_specEntropy,41,False,5,
Gyroscope + Accelerometer,gyrox_rmsVal,42,False,5,
Gyroscope + Accelerometer,accx_varVal,43,False,5,
Gyroscope + Accelerometer,gyroy_cvVal,44,False,5,
Gyroscope + Accelerometer,gyrox_harmonicRatio,45,False,5,
Gyroscope + Accelerometer,gyroy_domFreq,46,False,5,
Gyroscope + Accelerometer,accx_maxVal,47,False,5,
Gyroscope + Accelerometer,accy_domAmp,48,False,5,
Gyroscope + Accelerometer,gyrox_domAmp,49,False,5,
Gyroscope + Accelerometer,gyroy_psdMean,50,False,5,
Gyroscope + Accelerometer,accz_specEntropy,51,False,5,
Gyroscope + Accelerometer,accz_mavVal,52,False,5,
Gyroscope + Accelerometer,accz_cvVal,53,False,5,
Gyroscope + Accelerometer,accx_rmsVal,54,False,5,
