source,feature,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Gyroscope + EMG,MGinter_cvVal,1,True,189,0.562839448171355
Gyroscope + EMG,GMinter_psdAsymmetry,1,True,189,0.44694829979856543
Gyroscope + EMG,PLinter_cvVal,1,True,189,0.41425255056647803
Gyroscope + EMG,gyrox_domFreq,1,True,189,0.40821659980231645
Gyroscope + EMG,TAinter_harmonicRatio,1,True,189,0.3871583235867751
Gyroscope + EMG,gyroz_maxVal,1,True,189,0.38653953088891174
Gyroscope + EMG,gyrox_harmonicRatio,1,True,189,0.3774724426024318
Gyroscope + EMG,MGinter_psdAsymmetry,1,True,189,0.34650798640113106
Gyroscope + EMG,gyroz_meanVal,1,True,189,0.3181002351329347
Gyroscope + EMG,gyroz_cvVal,1,True,189,0.30344518031346707
Gyroscope + EMG,RFinter_minVal,1,True,189,0.30179937332924817
Gyroscope + EMG,gyroz_meanFreq,1,True,189,0.2955026357208885
Gyroscope + EMG,gyroy_minVal,1,True,189,0.29147662416388975
Gyroscope + EMG,BFinter_cvVal,1,True,189,0.28620750880825624
Gyroscope + EMG,gyroz_peakToPeak,1,True,189,0.2813680164858337
Gyroscope + EMG,gyrox_cvVal,1,True,189,0.2685860674457398
Gyroscope + EMG,MGinter_minVal,1,True,189,0.2621476405346868
Gyroscope + EMG,GMinter_meanFreq,1,True,189,0.25389802804329353
Gyroscope + EMG,RFinter_psdAsymmetry,1,True,189,0.2346975227818091
Gyroscope + EMG,gyroz_psdMean,1,True,189,0.207360814084924
Gyroscope + EMG,gyroz_varVal,1,True,189,0.20662136937287814
Gyroscope + EMG,GMinter_domFreq,1,True,189,0.19980620778718297
Gyroscope + EMG,gyroz_domAmp,1,True,189,0.1945203269918674
Gyroscope + EMG,gyroy_peakToPeak,1,True,189,0.19286504811404936
Gyroscope + EMG,MGinter_meanFreq,1,True,189,0.19156884703832722
Gyroscope + EMG,TAinter_minVal,1,True,189,0.18926584796460008
Gyroscope + EMG,gyroz_sdVal,1,True,189,0.18917641019253836
Gyroscope + EMG,gyroz_rmsVal,1,True,189,0.1873196986432536
Gyroscope + EMG,gyroz_mavVal,1,True,189,0.18431677660749404
Gyroscope + EMG,TAinter_psdAsymmetry,1,True,189,0.17521175900623398
Gyroscope + EMG,BFinter_logDetector,1,True,189,0.17482443069533068
Gyroscope + EMG,gyroz_domFreq,1,True,189,0.17373203630054926
Gyroscope + EMG,gyrox_meanVal,1,True,189,0.17312622696970625
Gyroscope + EMG,gyroz_harmonicRatio,1,True,189,0.16718368145628534
Gyroscope + EMG,RFinter_meanFreq,1,True,189,0.1668732934400834
Gyroscope + EMG,GMinter_minVal,1,True,189,0.1629470058158989
Gyroscope + EMG,MGinter_harmonicRatio,1,True,189,0.1587723193838264
Gyroscope + EMG,gyroy_cvVal,1,True,189,0.15761020873944018
Gyroscope + EMG,gyrox_maxVal,1,True,189,0.15308888777295562
Gyroscope + EMG,gyroy_meanVal,1,True,189,0.1519356484775111
Gyroscope + EMG,BFinter_minVal,1,True,189,0.14628770163134627
Gyroscope + EMG,gyrox_medianFreq,1,True,189,0.1422610891721607
Gyroscope + EMG,RFinter_domFreq,1,True,189,0.13900257048918077
Gyroscope + EMG,BFinter_meanFreq,1,True,189,0.1386950973375383
Gyroscope + EMG,gyroz_minVal,1,True,189,0.13781754276340116
Gyroscope + EMG,TAinter_cvVal,1,True,189,0.1370569890507116
Gyroscope + EMG,gyrox_mavVal,1,True,189,0.1355929223780227
Gyroscope + EMG,gyroz_specEntropy,1,True,189,0.13549344393598373
Gyroscope + EMG,GMinter_cvVal,1,True,189,0.13405316389890654
Gyroscope + EMG,BFinter_waveformLength,1,True,189,0.12887094368468063
Gyroscope + EMG,gyroz_psdAsymmetry,1,True,189,0.1278733593494635
Gyroscope + EMG,MGinter_medianFreq,1,True,189,0.1271935410514346
Gyroscope + EMG,RFinter_cvVal,1,True,189,0.12443118847483899
Gyroscope + EMG,BFinter_specEntropy,1,True,189,0.12217333303279458
Gyroscope + EMG,PLinter_domFreq,1,True,189,0.11910143000863437
Gyroscope + EMG,gyroy_domFreq,1,True,189,0.11714494172999997
Gyroscope + EMG,BFinter_psdAsymmetry,1,True,189,0.11635530784051744
Gyroscope + EMG,GMinter_harmonicRatio,1,True,189,0.11628804115793907
Gyroscope + EMG,gyroy_harmonicRatio,1,True,189,0.11618744010406701
Gyroscope + EMG,gyroy_medianFreq,1,True,189,0.11546914459507558
Gyroscope + EMG,gyrox_specEntropy,1,True,189,0.11514135838562557
Gyroscope + EMG,gyrox_peakToPeak,1,True,189,0.1144621277543223
Gyroscope + EMG,PLinter_harmonicRatio,1,True,189,0.11237450244398244
Gyroscope + EMG,gyroz_medianFreq,1,True,189,0.11194650232477928
Gyroscope + EMG,MGinter_domFreq,1,True,189,0.10929532148507505
Gyroscope + EMG,GMinter_medianFreq,1,True,189,0.10571856375347884
Gyroscope + EMG,RFinter_medianFreq,1,True,189,0.10012620761443584
Gyroscope + EMG,gyroy_domAmp,1,True,189,0.09822119106633621
Gyroscope + EMG,gyrox_rmsVal,1,True,189,0.09797297452856436
Gyroscope + EMG,gyroy_psdMean,1,True,189,0.09654088517254693
Gyroscope + EMG,PLinter_minVal,1,True,189,0.09473032800084942
