source,feature,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Gyroscope,gyroz_maxVal,1,True,5,1.417854198863789
Gyroscope,gyroz_domAmp,1,True,5,0.7523290387254971
Gyroscope,gyroz_varVal,1,True,5,0.6887031767182102
Gyroscope,gyroz_psdMean,1,True,5,0.6823917404333666
Gyroscope,gyrox_cvVal,1,True,5,0.5459031301187235
Gyroscope,gyroz_peakToPeak,2,False,5,
Gyroscope,gyroy_minVal,3,False,5,
Gyroscope,gyroy_specEntropy,4,False,5,
Gyroscope,gyrox_harmonicRatio,5,False,5,
Gyroscope,gyroz_medianFreq,6,False,5,
Gyroscope,gyroz_minVal,7,False,5,
Gyroscope,gyroz_meanVal,8,False,5,
Gyroscope,gyrox_maxVal,9,False,5,
Gyroscope,gyroz_psdAsymmetry,10,False,5,
Gyroscope,gyroz_sdVal,11,False,5,
Gyroscope,gyroz_cvVal,12,False,5,
Gyroscope,gyroy_medianFreq,13,False,5,
Gyroscope,gyroy_domFreq,14,False,5,
Gyroscope,gyrox_meanVal,15,False,5,
Gyroscope,gyroz_rmsVal,16,False,5,
Gyroscope,gyrox_specEntropy,17,False,5,
Gyroscope,gyroz_meanFreq,18,False,5,
Gyroscope,gyroz_domFreq,19,False,5,
Gyroscope,gyroz_mavVal,20,False,5,
Gyroscope,gyroy_cvVal,21,False,5,
Gyroscope,gyroy_peakToPeak,22,False,5,
Gyroscope,gyroy_maxVal,23,False,5,
Gyroscope,gyrox_domFreq,24,False,5,
Gyroscope,gyroy_mavVal,25,False,5,
Gyroscope,gyroy_harmonicRatio,26,False,5,
Gyroscope,gyroy_meanVal,27,False,5,
Gyroscope,gyrox_psdMean,28,False,5,
Gyroscope,gyrox_mavVal,29,False,5,
Gyroscope,gyrox_varVal,30,False,5,
Gyroscope,gyrox_peakToPeak,31,False,5,
Gyroscope,gyroz_harmonicRatio,32,False,5,
Gyroscope,gyroz_specEntropy,33,False,5,
Gyroscope,gyrox_meanFreq,34,False,5,
Gyroscope,gyroy_rmsVal,35,False,5,
Gyroscope,gyroy_psdMean,36,False,5,
Gyroscope,gyroy_sdVal,37,False,5,
Gyroscope,gyroy_varVal,38,False,5,
Gyroscope,gyroy_meanFreq,39,False,5,
Gyroscope,gyrox_rmsVal,40,False,5,
Gyroscope,gyrox_psdAsymmetry,41,False,5,
Gyroscope,gyrox_medianFreq,42,False,5,
Gyroscope,gyroy_domAmp,43,False,5,
Gyroscope,gyroy_psdAsymmetry,44,False,5,
Gyroscope,gyrox_minVal,45,False,5,
Gyroscope,gyrox_sdVal,46,False,5,
Gyroscope,gyrox_domAmp,47,False,5,
