source,n_features,feature,rfe_rank,selected_model_abs_coefficient_mean
Accelerometer,5,accx_harmonicRatio,1,1.0307641255660798
Accelerometer,5,accx_psdMean,1,0.6646899649187522
Accelerometer,5,accx_meanVal,1,0.6450935009598027
Accelerometer,5,accx_minVal,1,0.5948771231198435
Accelerometer,5,accx_peakToPeak,1,0.4504483492878973
Accelerometer,10,accz_meanVal,1,0.7007609653862265
Accelerometer,10,accx_minVal,1,0.5815355528280413
Accelerometer,10,accz_rmsVal,1,0.5236881651609875
Accelerometer,10,accx_harmonicRatio,1,0.5109234055657118
Accelerometer,10,accx_peakToPeak,1,0.4745274003960292
Accelerometer,10,accx_psdMean,1,0.4614908901814065
Accelerometer,10,accx_meanVal,1,0.44432378486460555
Accelerometer,10,accx_mavVal,1,0.4438702057308504
Accelerometer,10,accx_varVal,1,0.41769066649375275
Accelerometer,10,accx_maxVal,1,0.37725469743020307
Accelerometer,15,accz_meanVal,1,0.6978176016248255
Accelerometer,15,accx_harmonicRatio,1,0.5877440583493622
Accelerometer,15,accx_minVal,1,0.5816324380327177
Accelerometer,15,accz_harmonicRatio,1,0.5769798389013671
Accelerometer,15,accz_rmsVal,1,0.5658829150166865
Accelerometer,15,accy_maxVal,1,0.49953120067778306
Accelerometer,15,accx_peakToPeak,1,0.48736910536414985
Accelerometer,15,accy_domAmp,1,0.4829090398294984
Accelerometer,15,accx_psdMean,1,0.4769778611756439
Accelerometer,15,accx_meanVal,1,0.4736509236274824
Accelerometer,15,accx_mavVal,1,0.47320697534033757
Accelerometer,15,accx_varVal,1,0.4558952879740663
Accelerometer,15,accy_harmonicRatio,1,0.4168061385163908
Accelerometer,15,accz_domFreq,1,0.41292936437251954
Accelerometer,15,accx_maxVal,1,0.4042528338216456
Accelerometer,20,accz_meanVal,1,0.6633718196316988
Accelerometer,20,accx_minVal,1,0.6562408054581258
Accelerometer,20,accz_harmonicRatio,1,0.5675924491570989
Accelerometer,20,accy_domAmp,1,0.539332150499856
Accelerometer,20,accy_maxVal,1,0.525685102577359
Accelerometer,20,accz_rmsVal,1,0.5199845915980928
Accelerometer,20,accx_peakToPeak,1,0.5097450850449922
Accelerometer,20,accz_domFreq,1,0.46335048074787366
Accelerometer,20,accx_harmonicRatio,1,0.43505292032396986
Accelerometer,20,accy_harmonicRatio,1,0.3932287143753877
Accelerometer,20,accx_maxVal,1,0.3904094268816099
Accelerometer,20,accy_specEntropy,1,0.3672942479594174
Accelerometer,20,accx_psdMean,1,0.3658567978393618
Accelerometer,20,accx_sdVal,1,0.3582340251129641
Accelerometer,20,accx_rmsVal,1,0.35187908511180727
Accelerometer,20,accx_meanVal,1,0.3496399670587606
Accelerometer,20,accx_mavVal,1,0.34928013703144817
Accelerometer,20,accx_varVal,1,0.34351350083828125
Accelerometer,20,accx_specEntropy,1,0.30107213252664256
Accelerometer,20,accy_medianFreq,1,0.2914984762018853
Accelerometer,30,accx_minVal,1,0.65538532961322
Accelerometer,30,accz_meanVal,1,0.5937279953553248
Accelerometer,30,accz_harmonicRatio,1,0.5354248047885104
Accelerometer,30,accx_peakToPeak,1,0.5242126389956078
Accelerometer,30,accz_domFreq,1,0.49522048321874146
Accelerometer,30,accy_maxVal,1,0.4704713851237525
Accelerometer,30,accy_domAmp,1,0.4453597817430576
Accelerometer,30,accy_harmonicRatio,1,0.43744921122762204
Accelerometer,30,accx_maxVal,1,0.42127497411872233
Accelerometer,30,accx_meanVal,1,0.40903999710944555
Accelerometer,30,accx_mavVal,1,0.40866964437788705
Accelerometer,30,accx_psdMean,1,0.4055077751719107
Accelerometer,30,accx_rmsVal,1,0.39304812493184965
Accelerometer,30,accy_medianFreq,1,0.3792286820864616
Accelerometer,30,accx_harmonicRatio,1,0.37351252471283264
Accelerometer,30,accy_specEntropy,1,0.35747123738556513
Accelerometer,30,accx_sdVal,1,0.3514689651184259
Accelerometer,30,accy_peakToPeak,1,0.34302232483294
Accelerometer,30,accy_mavVal,1,0.33351765564501995
Accelerometer,30,accx_varVal,1,0.31133540447650887
Accelerometer,30,accx_specEntropy,1,0.299790173724557
Accelerometer,30,accy_domFreq,1,0.28385948098938424
Accelerometer,30,accz_rmsVal,1,0.27376504296231186
Accelerometer,30,accz_specEntropy,1,0.2607984444429952
Accelerometer,30,accx_meanFreq,1,0.2563164106907087
Accelerometer,30,accx_cvVal,1,0.24878194470678583
Accelerometer,30,accz_peakToPeak,1,0.24326542789913655
Accelerometer,30,accy_rmsVal,1,0.24049382107688144
Accelerometer,30,accz_minVal,1,0.23931053473139496
Accelerometer,30,accz_mavVal,1,0.19443241819217125
Accelerometer,40,accx_minVal,1,0.7120199575020852
Accelerometer,40,accz_meanVal,1,0.6087879137994401
Accelerometer,40,accy_maxVal,1,0.54584592235341
Accelerometer,40,accx_peakToPeak,1,0.5055957503319197
Accelerometer,40,accz_domFreq,1,0.48994283559109064
Accelerometer,40,accy_harmonicRatio,1,0.4856554413950027
Accelerometer,40,accz_harmonicRatio,1,0.4572575889902968
Accelerometer,40,accx_psdMean,1,0.41918810964268666
Accelerometer,40,accx_meanVal,1,0.4181570271813166
Accelerometer,40,accx_mavVal,1,0.41794050307693653
Accelerometer,40,accx_rmsVal,1,0.40318983073996906
Accelerometer,40,accx_maxVal,1,0.40053364390343615
Accelerometer,40,accy_domAmp,1,0.3795063333620015
Accelerometer,40,accx_harmonicRatio,1,0.37299285741413474
Accelerometer,40,accy_medianFreq,1,0.3581094250038288
Accelerometer,40,accy_mavVal,1,0.3362696561968641
Accelerometer,40,accx_sdVal,1,0.3341955905700968
Accelerometer,40,accx_varVal,1,0.3286241967115064
Accelerometer,40,accy_peakToPeak,1,0.3264483259106536
Accelerometer,40,accy_specEntropy,1,0.28022143589428694
Accelerometer,40,accy_meanVal,1,0.26033546635710764
Accelerometer,40,accy_domFreq,1,0.2483134355995168
Accelerometer,40,accz_specEntropy,1,0.23600820789886803
Accelerometer,40,accz_minVal,1,0.2353119935933936
Accelerometer,40,accz_rmsVal,1,0.2340594516600719
Accelerometer,40,accz_peakToPeak,1,0.2263630714745415
Accelerometer,40,accy_rmsVal,1,0.22619293419225203
Accelerometer,40,accx_cvVal,1,0.22593997235143073
Accelerometer,40,accx_meanFreq,1,0.21991523375756947
Accelerometer,40,accz_maxVal,1,0.2107805895540561
Accelerometer,40,accy_minVal,1,0.21029478004567692
Accelerometer,40,accz_mavVal,1,0.1761046209138599
Accelerometer,40,accy_cvVal,1,0.1673968779416843
Accelerometer,40,accx_domAmp,1,0.16263953419495786
Accelerometer,40,accy_psdMean,1,0.1573275870614387
Accelerometer,40,accz_sdVal,1,0.15494477222143224
Accelerometer,40,accx_specEntropy,1,0.15130873482574678
Accelerometer,40,accz_medianFreq,1,0.1497276531210455
Accelerometer,40,accx_domFreq,1,0.1451969465853399
Accelerometer,40,accz_psdMean,1,0.1410057753468146
Accelerometer,50,accx_minVal,1,0.7092515699842888
Accelerometer,50,accz_meanVal,1,0.5973040657835557
Accelerometer,50,accy_maxVal,1,0.5447188356545483
Accelerometer,50,accx_peakToPeak,1,0.5069772736100223
Accelerometer,50,accz_domFreq,1,0.4991906692519817
Accelerometer,50,accy_harmonicRatio,1,0.4840352722961236
Accelerometer,50,accz_harmonicRatio,1,0.4446379016088951
Accelerometer,50,accx_psdMean,1,0.41947773896241913
Accelerometer,50,accx_meanVal,1,0.41879141569921424
Accelerometer,50,accx_mavVal,1,0.41861806091635984
Accelerometer,50,accx_rmsVal,1,0.40461417351070056
Accelerometer,50,accx_maxVal,1,0.4043631675990014
Accelerometer,50,accy_domAmp,1,0.3781073125163334
Accelerometer,50,accx_harmonicRatio,1,0.36755293333661304
Accelerometer,50,accy_medianFreq,1,0.3454037077985177
Accelerometer,50,accx_sdVal,1,0.336357400054527
Accelerometer,50,accy_peakToPeak,1,0.3316267643175581
Accelerometer,50,accy_mavVal,1,0.3271751176132967
Accelerometer,50,accx_varVal,1,0.3242226767798167
Accelerometer,50,accy_specEntropy,1,0.2675877221422929
Accelerometer,50,accy_meanVal,1,0.26506766804593324
Accelerometer,50,accz_specEntropy,1,0.25770367943462524
Accelerometer,50,accy_domFreq,1,0.25388123075855645
Accelerometer,50,accz_rmsVal,1,0.24483900841175635
Accelerometer,50,accz_minVal,1,0.23914360223625986
Accelerometer,50,accx_cvVal,1,0.227269529483875
Accelerometer,50,accz_peakToPeak,1,0.2228771599141182
Accelerometer,50,accx_meanFreq,1,0.2172549389327556
Accelerometer,50,accz_maxVal,1,0.21479749578698584
Accelerometer,50,accy_rmsVal,1,0.21321539013103954
Accelerometer,50,accy_minVal,1,0.19170562435779612
Accelerometer,50,accz_mavVal,1,0.1883746819607904
Accelerometer,50,accx_domAmp,1,0.17357700115250763
Accelerometer,50,accy_cvVal,1,0.17183752348049688
Accelerometer,50,accx_specEntropy,1,0.17071312404171676
Accelerometer,50,accx_domFreq,1,0.16588949629319505
Accelerometer,50,accz_medianFreq,1,0.14760017665575065
Accelerometer,50,accz_psdMean,1,0.1470373027834749
Accelerometer,50,accy_psdMean,1,0.1383156913407101
Accelerometer,50,accz_sdVal,1,0.12555342208967293
Accelerometer,50,accz_varVal,1,0.0973259241672566
Accelerometer,50,accz_meanFreq,1,0.0966777309302453
Accelerometer,50,accx_medianFreq,1,0.08547037978284293
Accelerometer,50,accy_sdVal,1,0.07390680674102044
Accelerometer,50,accy_meanFreq,1,0.06803007898301267
Accelerometer,50,accz_cvVal,1,0.062449291552304075
Accelerometer,50,accy_psdAsymmetry,1,0.06036764803793757
Accelerometer,50,accz_domAmp,1,0.04334428714729525
Accelerometer,50,accx_psdAsymmetry,1,0.037620014869453884
Accelerometer,50,accy_varVal,1,0.0371913222394957
Accelerometer,51,accx_minVal,1,0.7089952950903106
Accelerometer,51,accz_meanVal,1,0.5978241449206113
Accelerometer,51,accy_maxVal,1,0.5447751280608356
Accelerometer,51,accx_peakToPeak,1,0.5071049826566079
Accelerometer,51,accz_domFreq,1,0.4989750121827858
Accelerometer,51,accy_harmonicRatio,1,0.48399247086605063
Accelerometer,51,accz_harmonicRatio,1,0.44402740161647597
Accelerometer,51,accx_psdMean,1,0.41943722472114464
Accelerometer,51,accx_meanVal,1,0.41874306542879247
Accelerometer,51,accx_mavVal,1,0.41857273727463046
Accelerometer,51,accx_maxVal,1,0.4046324269288533
Accelerometer,51,accx_rmsVal,1,0.4045881034122154
Accelerometer,51,accy_domAmp,1,0.3782898626478421
Accelerometer,51,accx_harmonicRatio,1,0.3672294391940438
Accelerometer,51,accy_medianFreq,1,0.3443476668166949
Accelerometer,51,accx_sdVal,1,0.33631756510423855
Accelerometer,51,accy_peakToPeak,1,0.3326785397802713
Accelerometer,51,accy_mavVal,1,0.3275322812593078
Accelerometer,51,accx_varVal,1,0.3242491409728636
Accelerometer,51,accy_specEntropy,1,0.2676050597362976
Accelerometer,51,accy_meanVal,1,0.26487951193690007
Accelerometer,51,accz_specEntropy,1,0.2577946504164794
Accelerometer,51,accy_domFreq,1,0.25381223771359496
Accelerometer,51,accz_rmsVal,1,0.2448915042108706
Accelerometer,51,accz_minVal,1,0.23921895352653713
Accelerometer,51,accx_cvVal,1,0.2276142090136081
Accelerometer,51,accz_peakToPeak,1,0.22278769066217585
Accelerometer,51,accx_meanFreq,1,0.21621071369867337
Accelerometer,51,accz_maxVal,1,0.21481051952127142
