source,feature,combined_rank,combined_rank_score,anova_rank,anova_f_score,p_value,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Accelerometer + EMG,accx_rmsVal,1,2,1,50.55030640671263,2.3595387689896196e-13,1,True,5,0.9243689991961297
Accelerometer + EMG,accx_sdVal,2,4,3,44.348548031576286,2.421490985626061e-12,1,True,5,0.9887068843064512
Accelerometer + EMG,accx_meanVal,3,11,5,41.725973007861704,6.8848138297416996e-12,6,False,5,
Accelerometer + EMG,accx_varVal,4,15,7,28.87756891987487,2.1823651921924956e-09,8,False,5,
Accelerometer + EMG,BFinter_cvVal,4,15,14,10.180449349331417,0.00016579462908858312,1,True,5,0.7006870547391421
Accelerometer + EMG,accx_psdMean,5,18,2,47.11213349826093,8.379555383621234e-13,16,False,5,
Accelerometer + EMG,MGinter_cvVal,6,21,19,9.451555728935244,0.0002851250556458693,2,False,5,
Accelerometer + EMG,MGinter_minVal,7,23,13,10.973892688389988,9.294900828747676e-05,10,False,5,
Accelerometer + EMG,accx_harmonicRatio,8,24,9,24.96054219117277,1.637298177526479e-08,15,False,5,
Accelerometer + EMG,accx_mavVal,9,26,4,41.73509841872712,6.859365479851645e-12,22,False,5,
Accelerometer + EMG,GMinter_psdAsymmetry,10,27,22,8.590070850202492,0.0005485738695242438,5,False,5,
Accelerometer + EMG,accx_cvVal,11,29,6,33.87154032026746,2.0228520985933302e-10,23,False,5,
Accelerometer + EMG,accx_minVal,11,29,16,10.041712023781361,0.0001836728436440467,13,False,5,
Accelerometer + EMG,accz_rmsVal,12,32,25,7.596739564327775,0.0011891624651806697,7,False,5,
Accelerometer + EMG,BFinter_waveformLength,13,40,39,3.0289381350653652,0.05621629193232272,1,True,5,0.7775317570435241
Accelerometer + EMG,accx_peakToPeak,14,43,10,22.85456086189903,5.14726400347132e-08,33,False,5,
Accelerometer + EMG,accx_maxVal,15,47,8,25.29098166350289,1.37359472320834e-08,39,False,5,
Accelerometer + EMG,accy_maxVal,16,48,21,8.87446045776815,0.00044125836607399564,27,False,5,
Accelerometer + EMG,accy_domAmp,16,48,36,3.396086260645934,0.0404168712411561,12,False,5,
Accelerometer + EMG,accz_sdVal,17,52,28,6.169158700021535,0.003755730107849882,24,False,5,
Accelerometer + EMG,accy_rmsVal,18,59,15,10.086488746521766,0.0001776943319161264,44,False,5,
Accelerometer + EMG,TAinter_cvVal,19,63,44,2.3434286031836433,0.10518238553030981,19,False,5,
Accelerometer + EMG,accx_meanFreq,20,65,12,12.763407779191843,2.62708058704691e-05,53,False,5,
Accelerometer + EMG,PLinter_cvVal,21,73,45,2.3013236187475665,0.10935815825145295,28,False,5,
Accelerometer + EMG,TAinter_minVal,22,74,26,6.986928741202099,0.0019325409211342764,48,False,5,
Accelerometer + EMG,PLinter_minVal,23,78,17,9.980836148757154,0.00019213666732946865,61,False,5,
Accelerometer + EMG,accz_mavVal,23,78,32,5.403454116913385,0.007097837077238874,46,False,5,
Accelerometer + EMG,accz_minVal,24,84,47,2.2442591186327547,0.11529317633987525,37,False,5,
Accelerometer + EMG,BFinter_psdAsymmetry,25,87,29,5.8456377425156125,0.004906121957474693,58,False,5,
Accelerometer + EMG,accy_peakToPeak,26,88,38,3.105739262109792,0.0524504055103515,50,False,5,
Accelerometer + EMG,PLinter_harmonicRatio,27,91,80,1.990689162926057,0.14598631755816202,11,False,5,
Accelerometer + EMG,accy_sdVal,28,93,11,14.573300415371857,7.729408009863686e-06,82,False,5,
Accelerometer + EMG,accz_varVal,29,101,35,4.363617192159172,0.01724609052202817,66,False,5,
Accelerometer + EMG,MGinter_psdAsymmetry,29,101,92,1.8750479441031436,0.16268398625933808,9,False,5,
Accelerometer + EMG,accz_maxVal,30,103,24,7.794478715863644,0.001017706292543706,79,False,5,
Accelerometer + EMG,accx_specEntropy,31,105,18,9.488589750181603,0.00027730846135489524,87,False,5,
Accelerometer + EMG,accz_psdMean,31,105,34,4.5244462275665915,0.015006019635676169,71,False,5,
Accelerometer + EMG,GMinter_meanFreq,31,105,37,3.2678330959421475,0.0453348443189831,68,False,5,
Accelerometer + EMG,accz_peakToPeak,32,106,30,5.731667279389723,0.005393603534857084,76,False,5,
Accelerometer + EMG,accy_medianFreq,33,108,78,2.021814013067956,0.14180246295729054,30,False,5,
Accelerometer + EMG,accy_domFreq,34,110,20,8.939330543933053,0.00041997978575020574,90,False,5,
Accelerometer + EMG,accy_mavVal,35,118,23,8.367773770449615,0.0006510906584998753,95,False,5,
Accelerometer + EMG,accy_cvVal,36,124,33,4.97927404634611,0.01016158815194433,91,False,5,
Accelerometer + EMG,accy_varVal,37,125,27,6.72492481751795,0.0023869942739019466,98,False,5,
Accelerometer + EMG,TAinter_harmonicRatio,37,125,124,1.4539535818398974,0.2421782660548738,1,True,5,0.7573942345348312
Accelerometer + EMG,BFinter_logDetector,38,131,113,1.6495240711790848,0.20118026408553963,18,False,5,
Accelerometer + EMG,GMinter_varVal,39,135,83,1.949498925807967,0.15172048635442734,52,False,5,
Accelerometer + EMG,TAinter_domAmp,40,136,50,2.225888974434655,0.1172739322990568,86,False,5,
Accelerometer + EMG,GMinter_harmonicRatio,41,137,108,1.7513170052446456,0.1827537687531793,29,False,5,
Accelerometer + EMG,GMinter_emdEnergy,42,140,106,1.7866062134832366,0.1767812090503925,34,False,5,
