feature,anova_f_score,p_value,anova_rank
accx_rmsVal,50.55030640671263,2.3595387689896196e-13,1
accx_psdMean,47.11213349826093,8.379555383621234e-13,2
accx_sdVal,44.348548031576286,2.421490985626061e-12,3
accx_mavVal,41.73509841872712,6.859365479851645e-12,4
accx_meanVal,41.725973007861704,6.8848138297416996e-12,5
accx_cvVal,33.87154032026746,2.0228520985933302e-10,6
accx_varVal,28.87756891987487,2.1823651921924956e-09,7
accx_maxVal,25.29098166350289,1.37359472320834e-08,8
accx_harmonicRatio,24.96054219117277,1.637298177526479e-08,9
accx_peakToPeak,22.85456086189903,5.14726400347132e-08,10
accy_sdVal,14.573300415371857,7.729408009863686e-06,11
accx_meanFreq,12.763407779191843,2.62708058704691e-05,12
accy_rmsVal,10.086488746521766,0.0001776943319161264,13
accx_minVal,10.041712023781361,0.0001836728436440467,14
accx_specEntropy,9.488589750181603,0.00027730846135489524,15
accy_domFreq,8.939330543933053,0.00041997978575020574,16
accy_maxVal,8.87446045776815,0.00044125836607399564,17
accy_mavVal,8.367773770449615,0.0006510906584998753,18
accz_maxVal,7.794478715863644,0.001017706292543706,19
accz_rmsVal,7.596739564327775,0.0011891624651806697,20
accy_varVal,6.72492481751795,0.0023869942739019466,21
accz_sdVal,6.169158700021535,0.003755730107849882,22
accz_peakToPeak,5.731667279389723,0.005393603534857084,23
accy_psdMean,5.4617922221317405,0.006758438900598564,24
accz_mavVal,5.403454116913385,0.007097837077238874,25
accy_cvVal,4.97927404634611,0.01016158815194433,26
accz_psdMean,4.5244462275665915,0.015006019635676169,27
accz_varVal,4.363617192159172,0.01724609052202817,28
accy_domAmp,3.396086260645934,0.0404168712411561,29
accy_peakToPeak,3.105739262109792,0.0524504055103515,30
accz_minVal,2.2442591186327547,0.11529317633987525,31
accy_medianFreq,2.021814013067956,0.14180246295729054,32
accy_meanFreq,1.9100896721524714,0.15742512183361335,33
accy_meanVal,1.5687481682274238,0.21716563303102376,34
accx_domAmp,1.1155342867095144,0.33478863512434015,35
accz_meanVal,1.083830771870386,0.34516586401721633,36
accz_domAmp,1.062278142985887,0.352410138044489,37
accy_specEntropy,1.0513030377081192,0.356159390706223,38
accx_psdAsymmetry,1.0167339624680336,0.3682408232071394,39
accz_psdAsymmetry,0.9761996902915635,0.38294909187789605,40
accy_psdAsymmetry,0.9597070003083743,0.38910646887427036,41
accy_minVal,0.8667326144013621,0.42578767353268765,42
accz_meanFreq,0.8020483726119966,0.4534047366366202,43
accz_medianFreq,0.7499539677955085,0.476991546455629,44
accz_harmonicRatio,0.4485871386871664,0.6407644299819695,45
accz_domFreq,0.3666440970084944,0.6946787667751496,46
accx_domFreq,0.33311688311688326,0.7180722170400982,47
accz_specEntropy,0.25658827182003063,0.7745755218562882,48
accx_medianFreq,0.2286096256684494,0.7963650315110661,49
accy_harmonicRatio,0.0689977572359904,0.9334066034171862,50
