feature,anova_f_score,p_value,anova_rank
gyroz_varVal,110.79812506040749,2.2942370531700447e-20,1
gyroz_psdMean,109.55295238027331,2.9633032238699477e-20,2
gyroz_mavVal,106.34732609213533,5.78857738421714e-20,3
gyroz_sdVal,99.07367304450233,2.8111777590934636e-19,4
gyroz_rmsVal,98.7257287006321,3.0387328444571493e-19,5
gyroz_domAmp,87.49660505626136,4.2304646334542505e-18,6
gyroz_maxVal,82.61300185891838,1.4413830422044726e-17,7
gyroz_peakToPeak,80.7094887278958,2.3586193289746774e-17,8
gyroz_minVal,58.45512960009863,1.5601455582737402e-14,9
accx_rmsVal,50.55030640671263,2.3595387689896196e-13,10
accx_psdMean,47.11213349826093,8.379555383621234e-13,11
accx_sdVal,44.348548031576286,2.421490985626061e-12,12
accx_mavVal,41.73509841872712,6.859365479851645e-12,13
accx_meanVal,41.725973007861704,6.8848138297416996e-12,14
gyrox_cvVal,38.63103775881039,2.487497915874673e-11,15
accx_cvVal,33.87154032026746,2.0228520985933302e-10,16
gyrox_mavVal,31.99654866778426,4.827879741053851e-10,17
accx_varVal,28.87756891987487,2.1823651921924956e-09,18
accx_maxVal,25.29098166350289,1.37359472320834e-08,19
accx_harmonicRatio,24.96054219117277,1.637298177526479e-08,20
gyroz_cvVal,24.398033555223186,2.2133595510609574e-08,21
accx_peakToPeak,22.85456086189903,5.14726400347132e-08,22
gyroz_specEntropy,22.275963027485552,7.109199335445045e-08,23
gyrox_rmsVal,20.262594973014632,2.252187006805602e-07,24
gyrox_sdVal,20.078139843683417,2.509073643815781e-07,25
gyroy_minVal,18.741727143595785,5.556408324771846e-07,26
gyroy_peakToPeak,17.358202575943768,1.2962632230189681e-06,27
accy_sdVal,14.573300415371857,7.729408009863686e-06,28
gyrox_varVal,13.951139252421193,1.1701244139415724e-05,29
gyrox_psdMean,13.108005989537189,2.0727015235990678e-05,30
accx_meanFreq,12.763407779191843,2.62708058704691e-05,31
gyroz_harmonicRatio,12.712553916984515,2.721052699614566e-05,32
gyrox_domAmp,12.360264770107284,3.475321445959049e-05,33
gyroy_rmsVal,11.993769011542396,4.492776105883514e-05,34
gyrox_harmonicRatio,11.16148712715093,8.120114885223511e-05,35
MGinter_minVal,10.973892688389988,9.294900828747676e-05,36
gyroy_mavVal,10.527817001672183,0.00012850265527062718,37
BFinter_cvVal,10.180449349331417,0.00016579462908858312,38
accy_rmsVal,10.086488746521766,0.0001776943319161264,39
gyrox_minVal,10.063039483775336,0.00018079969115590767,40
accx_minVal,10.041712023781361,0.0001836728436440467,41
PLinter_minVal,9.980836148757154,0.00019213666732946865,42
gyrox_specEntropy,9.801086900393177,0.00021956454091153708,43
gyroy_sdVal,9.766684817829068,0.00022526026411174188,44
accx_specEntropy,9.488589750181603,0.00027730846135489524,45
MGinter_cvVal,9.451555728935244,0.0002851250556458693,46
gyroz_meanFreq,9.023530984356066,0.000393933658589966,47
accy_domFreq,8.939330543933053,0.00041997978575020574,48
accy_maxVal,8.87446045776815,0.00044125836607399564,49
GMinter_psdAsymmetry,8.590070850202492,0.0005485738695242438,50
