feature,anova_f_score,p_value,anova_rank
MGinter_minVal,10.973892688389988,9.294900828747676e-05,1
BFinter_cvVal,10.180449349331417,0.00016579462908858312,2
PLinter_minVal,9.980836148757154,0.00019213666732946865,3
MGinter_cvVal,9.451555728935244,0.0002851250556458693,4
GMinter_psdAsymmetry,8.590070850202492,0.0005485738695242438,5
TAinter_minVal,6.986928741202099,0.0019325409211342764,6
BFinter_psdAsymmetry,5.8456377425156125,0.004906121957474693,7
GMinter_meanFreq,3.2678330959421475,0.0453348443189831,8
BFinter_waveformLength,3.0289381350653652,0.05621629193232272,9
RFinter_waveformLength,2.776583244590486,0.0706851799354351,10
RFinter_sdVal,2.4867101664291735,0.09216745918408735,11
GMinter_waveformLength,2.4252626930055747,0.09753189986558843,12
RFinter_rmsVal,2.3608466664815952,0.10350353029110519,13
TAinter_cvVal,2.3434286031836433,0.10518238553030981,14
PLinter_cvVal,2.3013236187475665,0.10935815825145295,15
MGinter_harmonicRatio,2.2933213009333224,0.11017100362205993,16
RFinter_peakToPeak,2.239146290466136,0.11584096296978384,17
RFinter_emdEnergy,2.2259847756551783,0.11726351169343165,18
TAinter_domAmp,2.225888974434655,0.1172739322990568,19
BFinter_domAmp,2.2183039234065585,0.11810203241662015,20
RFinter_domAmp,2.1991823557769505,0.12021660668531627,21
RFinter_dwtEnergy,2.1881465863421257,0.12145480504693666,22
RFinter_varVal,2.187852353343214,0.12148799767957329,23
TAinter_waveformLength,2.186889037822946,0.12159673569380347,24
PLinter_domAmp,2.1781671273264513,0.12258585270306203,25
TAinter_dwtEnergy,2.171904504220436,0.12330120587937052,26
BFinter_emdEnergy,2.167460579346426,0.12381143664343645,27
GMinter_domAmp,2.146122918181804,0.12629194281653305,28
RFinter_mavVal,2.1216188716126716,0.12920410933550439,29
RFinter_cwtMean,2.120229565285254,0.12937128833589895,30
GMinter_rmsVal,2.119705062549754,0.1294344613809376,31
TAinter_emdEnergy,2.116247977735719,0.12985164503615804,32
RFinter_maxVal,2.1132169913365555,0.1302185543073755,33
TAinter_varVal,2.10777997500765,0.13087941156183053,34
GMinter_sdVal,2.092768734718401,0.13272207881108383,35
MGinter_domAmp,2.0879462453535664,0.1333197340894981,36
BFinter_dwtEnergy,2.0836465213500364,0.13385495167905725,37
PLinter_dwtEnergy,2.0759820441667807,0.13481452694412674,38
TAinter_psdMean,2.075933441606967,0.1348206345423974,39
TAinter_meanPowerFreq,2.075933441606967,0.1348206345423974,40
GMinter_psdMean,2.071292909792167,0.135405104090475,41
GMinter_meanPowerFreq,2.071292909792167,0.135405104090475,42
RFinter_meanPowerFreq,2.0590510234206176,0.1369595744334174,43
RFinter_psdMean,2.0590510234206176,0.1369595744334174,44
GMinter_dwtEnergy,2.025306015191268,0.14134086898088027,45
GMinter_cwtMean,2.022142895928333,0.141758922748186,46
PLinter_emdEnergy,2.011991582676048,0.14310923734119388,47
PLinter_harmonicRatio,1.990689162926057,0.14598631755816202,48
BFinter_varVal,1.9837402205649346,0.1469377310974521,49
BFinter_mavVal,1.9554898350582546,0.15087220088961828,50
