feature,anova_f_score,p_value,anova_rank
gyroz_varVal,110.79812506040749,2.2942370531700447e-20,1
gyroz_psdMean,109.55295238027331,2.9633032238699477e-20,2
gyroz_mavVal,106.34732609213533,5.78857738421714e-20,3
gyroz_sdVal,99.07367304450233,2.8111777590934636e-19,4
gyroz_rmsVal,98.7257287006321,3.0387328444571493e-19,5
gyroz_domAmp,87.49660505626136,4.2304646334542505e-18,6
gyroz_maxVal,82.61300185891838,1.4413830422044726e-17,7
gyroz_peakToPeak,80.7094887278958,2.3586193289746774e-17,8
gyroz_minVal,58.45512960009863,1.5601455582737402e-14,9
gyrox_cvVal,38.63103775881039,2.487497915874673e-11,10
gyrox_mavVal,31.99654866778426,4.827879741053851e-10,11
gyroz_cvVal,24.398033555223186,2.2133595510609574e-08,12
gyroz_specEntropy,22.275963027485552,7.109199335445045e-08,13
gyrox_rmsVal,20.262594973014632,2.252187006805602e-07,14
gyrox_sdVal,20.078139843683417,2.509073643815781e-07,15
gyroy_minVal,18.741727143595785,5.556408324771846e-07,16
gyroy_peakToPeak,17.358202575943768,1.2962632230189681e-06,17
gyrox_varVal,13.951139252421193,1.1701244139415724e-05,18
gyrox_psdMean,13.108005989537189,2.0727015235990678e-05,19
gyroz_harmonicRatio,12.712553916984515,2.721052699614566e-05,20
gyrox_domAmp,12.360264770107284,3.475321445959049e-05,21
gyroy_rmsVal,11.993769011542396,4.492776105883514e-05,22
gyrox_harmonicRatio,11.16148712715093,8.120114885223511e-05,23
gyroy_mavVal,10.527817001672183,0.00012850265527062718,24
gyrox_minVal,10.063039483775336,0.00018079969115590767,25
gyrox_specEntropy,9.801086900393177,0.00021956454091153708,26
gyroy_sdVal,9.766684817829068,0.00022526026411174188,27
gyroz_meanFreq,9.023530984356066,0.000393933658589966,28
gyrox_peakToPeak,7.330476226715387,0.0014685203433256293,29
gyroy_psdMean,7.13068987257235,0.0017222172025484052,30
gyroy_varVal,6.3150076022173565,0.003332218118157882,31
gyrox_meanVal,5.532410595157086,0.006369952741284412,32
gyroy_maxVal,5.059744911752353,0.0094895791878421,33
gyroz_medianFreq,4.160900211922973,0.020571985701965452,34
gyroy_domAmp,3.462361748972246,0.038095258793183935,35
gyroy_domFreq,3.297259894824246,0.044154213912436825,36
gyrox_domFreq,2.6133464903237202,0.08205344773681963,37
gyroy_meanVal,1.8656421240420868,0.16412628320410297,38
gyrox_maxVal,1.3638225967754825,0.2638971467051526,39
gyrox_psdAsymmetry,1.0609153128171456,0.352873470201628,40
gyroz_psdAsymmetry,1.0397648910135653,0.3601455305862229,41
gyroy_medianFreq,1.027309464810911,0.36450043522243614,42
gyroy_meanFreq,0.9814795837766894,0.3809992800126468,43
gyroz_domFreq,0.9375613747954172,0.3975359024131969,44
gyroz_meanVal,0.8264090750445562,0.44279243723970363,45
gyroy_specEntropy,0.7989442214964833,0.4547757907604565,46
gyroy_harmonicRatio,0.7134277707238025,0.49428421826484237,47
gyroy_psdAsymmetry,0.6704093866562524,0.5154856391711752,48
gyrox_medianFreq,0.5875598623548753,0.5590115010009236,49
gyrox_meanFreq,0.3380842804429579,0.7145554207209223,50
