feature,anova_f_score,p_value
gyroz_varVal,110.79812506040749,2.2942370531700447e-20
gyroz_psdMean,109.55295238027331,2.9633032238699477e-20
gyroz_mavVal,106.34732609213533,5.78857738421714e-20
gyroz_sdVal,99.07367304450233,2.8111777590934636e-19
gyroz_rmsVal,98.7257287006321,3.0387328444571493e-19
gyroz_domAmp,87.49660505626136,4.2304646334542505e-18
gyroz_maxVal,82.61300185891838,1.4413830422044726e-17
gyroz_peakToPeak,80.7094887278958,2.3586193289746774e-17
gyroz_minVal,58.45512960009863,1.5601455582737402e-14
accx_rmsVal,50.55030640671263,2.3595387689896196e-13
accx_psdMean,47.11213349826093,8.379555383621234e-13
accx_sdVal,44.348548031576286,2.421490985626061e-12
accx_mavVal,41.73509841872712,6.859365479851645e-12
accx_meanVal,41.725973007861704,6.8848138297416996e-12
gyrox_cvVal,38.63103775881039,2.487497915874673e-11
accx_cvVal,33.87154032026746,2.0228520985933302e-10
gyrox_mavVal,31.99654866778426,4.827879741053851e-10
accx_varVal,28.87756891987487,2.1823651921924956e-09
accx_maxVal,25.29098166350289,1.37359472320834e-08
accx_harmonicRatio,24.96054219117277,1.637298177526479e-08
gyroz_cvVal,24.398033555223186,2.2133595510609574e-08
accx_peakToPeak,22.85456086189903,5.14726400347132e-08
gyroz_specEntropy,22.275963027485552,7.109199335445045e-08
gyrox_rmsVal,20.262594973014632,2.252187006805602e-07
gyrox_sdVal,20.078139843683417,2.509073643815781e-07
gyroy_minVal,18.741727143595785,5.556408324771846e-07
gyroy_peakToPeak,17.358202575943768,1.2962632230189681e-06
accy_sdVal,14.573300415371857,7.729408009863686e-06
gyrox_varVal,13.951139252421193,1.1701244139415724e-05
gyrox_psdMean,13.108005989537189,2.0727015235990678e-05
