feature,anova_f_score,p_value,anova_rank
gyroz_varVal,110.79812506040749,2.2942370531700447e-20,1
gyroz_psdMean,109.55295238027331,2.9633032238699477e-20,2
gyroz_mavVal,106.34732609213533,5.78857738421714e-20,3
gyroz_sdVal,99.07367304450233,2.8111777590934636e-19,4
gyroz_rmsVal,98.7257287006321,3.0387328444571493e-19,5
gyroz_domAmp,87.49660505626136,4.2304646334542505e-18,6
gyroz_maxVal,82.61300185891838,1.4413830422044726e-17,7
gyroz_peakToPeak,80.7094887278958,2.3586193289746774e-17,8
gyroz_minVal,58.45512960009863,1.5601455582737402e-14,9
gyrox_cvVal,38.63103775881039,2.487497915874673e-11,10
gyrox_mavVal,31.99654866778426,4.827879741053851e-10,11
gyroz_cvVal,24.398033555223186,2.2133595510609574e-08,12
gyroz_specEntropy,22.275963027485552,7.109199335445045e-08,13
gyrox_rmsVal,20.262594973014632,2.252187006805602e-07,14
gyrox_sdVal,20.078139843683417,2.509073643815781e-07,15
gyroy_minVal,18.741727143595785,5.556408324771846e-07,16
gyroy_peakToPeak,17.358202575943768,1.2962632230189681e-06,17
gyrox_varVal,13.951139252421193,1.1701244139415724e-05,18
gyrox_psdMean,13.108005989537189,2.0727015235990678e-05,19
gyroz_harmonicRatio,12.712553916984515,2.721052699614566e-05,20
gyrox_domAmp,12.360264770107284,3.475321445959049e-05,21
gyroy_rmsVal,11.993769011542396,4.492776105883514e-05,22
gyrox_harmonicRatio,11.16148712715093,8.120114885223511e-05,23
MGinter_minVal,10.973892688389988,9.294900828747676e-05,24
gyroy_mavVal,10.527817001672183,0.00012850265527062718,25
BFinter_cvVal,10.180449349331417,0.00016579462908858312,26
gyrox_minVal,10.063039483775336,0.00018079969115590767,27
PLinter_minVal,9.980836148757154,0.00019213666732946865,28
gyrox_specEntropy,9.801086900393177,0.00021956454091153708,29
gyroy_sdVal,9.766684817829068,0.00022526026411174188,30
MGinter_cvVal,9.451555728935244,0.0002851250556458693,31
gyroz_meanFreq,9.023530984356066,0.000393933658589966,32
GMinter_psdAsymmetry,8.590070850202492,0.0005485738695242438,33
gyrox_peakToPeak,7.330476226715387,0.0014685203433256293,34
gyroy_psdMean,7.13068987257235,0.0017222172025484052,35
TAinter_minVal,6.986928741202099,0.0019325409211342764,36
gyroy_varVal,6.3150076022173565,0.003332218118157882,37
BFinter_psdAsymmetry,5.8456377425156125,0.004906121957474693,38
gyrox_meanVal,5.532410595157086,0.006369952741284412,39
gyroy_maxVal,5.059744911752353,0.0094895791878421,40
gyroz_medianFreq,4.160900211922973,0.020571985701965452,41
gyroy_domAmp,3.462361748972246,0.038095258793183935,42
gyroy_domFreq,3.297259894824246,0.044154213912436825,43
GMinter_meanFreq,3.2678330959421475,0.0453348443189831,44
BFinter_waveformLength,3.0289381350653652,0.05621629193232272,45
RFinter_waveformLength,2.776583244590486,0.0706851799354351,46
gyrox_domFreq,2.6133464903237202,0.08205344773681963,47
RFinter_sdVal,2.4867101664291735,0.09216745918408735,48
GMinter_waveformLength,2.4252626930055747,0.09753189986558843,49
RFinter_rmsVal,2.3608466664815952,0.10350353029110519,50
