sensor_combination,model,n_samples,n_features,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc
Gyroscope,XGBoost,60,51,0.85,0.8111111111111112,0.8222222222222223,0.8111111111111112,0.8115600448933783,0.8503367003367004,0.763058362457374
Gyroscope + EMG,Random Forest,60,189,0.85,0.7999999999999999,0.8081575682382134,0.7999999999999999,0.8025232303392006,0.8477940620986628,0.7594332979636903
Gyroscope + EMG,k-NN,60,189,0.8333333333333334,0.7888888888888889,0.8052920092768291,0.7888888888888889,0.7930201376239627,0.8324700212507589,0.7338777890408639
Gyroscope + EMG,Linear SVM,60,189,0.8166666666666667,0.7666666666666666,0.7678062678062677,0.7666666666666666,0.7641915523271455,0.818906376109766,0.7108104842867281
Gyroscope + EMG,Extra Trees,60,189,0.8166666666666667,0.7555555555555555,0.7752525252525252,0.7555555555555555,0.7619047619047619,0.8095238095238095,0.7037647196179262
Gyroscope + Accelerometer,Extra Trees,60,102,0.8166666666666667,0.7555555555555555,0.7718947718947718,0.7555555555555555,0.7616310892172962,0.8093185550082101,0.7031085285944785
All sensors,k-NN,60,240,0.8166666666666667,0.7555555555555555,0.7718947718947718,0.7555555555555555,0.7616310892172962,0.8093185550082101,0.7031085285944785
Accelerometer + EMG,Random Forest,60,189,0.8,0.7333333333333333,0.7825396825396825,0.7333333333333333,0.7462486938349008,0.7869592476489029,0.677468924325164
Gyroscope + EMG,XGBoost,60,189,0.8,0.7444444444444445,0.7485380116959064,0.7444444444444445,0.7409007545265438,0.8014382777593146,0.6860571089196594
Gyroscope + Accelerometer,k-NN,60,102,0.8,0.7333333333333334,0.748085248085248,0.7333333333333334,0.7386425834701696,0.7920771756978654,0.6758033430179939
Gyroscope + Accelerometer,Random Forest,60,102,0.8,0.7333333333333334,0.7432692307692307,0.7333333333333334,0.7368663594470046,0.7945852534562212,0.6769749936825541
Gyroscope,Logistic Regression,60,51,0.7833333333333333,0.7333333333333333,0.7401778329197684,0.7333333333333333,0.7353504066883231,0.7810210017375538,0.6519029194909554
Gyroscope,k-NN,60,51,0.7833333333333333,0.7333333333333333,0.7401778329197684,0.7333333333333333,0.7353504066883231,0.7810210017375538,0.6519029194909554
Accelerometer + EMG,Linear SVM,60,189,0.7833333333333333,0.7333333333333334,0.7389837655492304,0.7333333333333334,0.7327084598259462,0.7790395415907712,0.6530839040088422
Gyroscope + Accelerometer,XGBoost,60,102,0.7833333333333333,0.7222222222222222,0.7301286105840186,0.7222222222222222,0.7228040882412466,0.7798079842137219,0.6530839040088422
All sensors,Extra Trees,60,240,0.7833333333333333,0.7111111111111111,0.7365418894830659,0.7111111111111111,0.7176282051282051,0.7725961538461539,0.6489707330787383
All sensors,Random Forest,60,240,0.7833333333333333,0.7111111111111111,0.7222222222222222,0.7111111111111111,0.7136598964555954,0.7771804062126643,0.6507913734559686
Gyroscope + EMG,Logistic Regression,60,189,0.7666666666666667,0.7111111111111111,0.7194998991732203,0.7111111111111111,0.7099934763610404,0.7697832428640008,0.6327711198773558
Gyroscope + EMG,RBF SVM,60,189,0.7666666666666667,0.7111111111111111,0.7071895424836602,0.7111111111111111,0.7079501915708812,0.7723419540229887,0.6327302141452292
All sensors,Logistic Regression,60,240,0.75,0.7000000000000001,0.6964285714285715,0.7000000000000001,0.6974416017797553,0.7558398220244716,0.6061032181989394
Accelerometer + EMG,Extra Trees,60,189,0.7666666666666667,0.688888888888889,0.7206682206682206,0.688888888888889,0.6968031968031968,0.749875124875125,0.6200874461828789
Gyroscope,Extra Trees,60,51,0.7666666666666667,0.6888888888888888,0.6986346986346987,0.6888888888888888,0.6918445539135195,0.7569786535303776,0.6211929718650248
Accelerometer + EMG,Logistic Regression,60,189,0.75,0.688888888888889,0.6967948717948719,0.688888888888889,0.6915514592933948,0.7444700460829493,0.5957379944406476
Gyroscope,Random Forest,60,51,0.7666666666666667,0.688888888888889,0.6895678246484698,0.688888888888889,0.6880839062224573,0.7619645690111052,0.6250203248727716
All sensors,RBF SVM,60,240,0.75,0.688888888888889,0.6907407407407408,0.688888888888889,0.6859708193041527,0.7478114478114478,0.6024144966768742
Gyroscope + Accelerometer,RBF SVM,60,102,0.75,0.6777777777777777,0.6929292929292928,0.6777777777777777,0.6821869488536154,0.7417989417989418,0.5944420447258211
Gyroscope,RBF SVM,60,51,0.75,0.6777777777777777,0.6849893162393162,0.6777777777777777,0.6800819252432154,0.7439324116743471,0.5957379944406476
Gyroscope,Linear SVM,60,51,0.7333333333333333,0.6777777777777777,0.6807987711213518,0.6777777777777777,0.6789900131901262,0.7305539853024308,0.5707397948588547
Accelerometer + EMG,k-NN,60,189,0.75,0.6777777777777777,0.6926470588235295,0.6777777777777777,0.6771370967741935,0.7344153225806452,0.5951592722851364
All sensors,Linear SVM,60,240,0.7333333333333333,0.6777777777777777,0.6756226053639846,0.6777777777777777,0.6764109106372639,0.7361217422999818,0.5764244485306949
Accelerometer,Extra Trees,60,51,0.7333333333333333,0.6666666666666666,0.6866310160427807,0.6666666666666666,0.6711538461538461,0.7221153846153847,0.5661234054516653
Gyroscope,Gaussian Naive Bayes,60,51,0.7333333333333333,0.6666666666666666,0.6728701406120762,0.6666666666666666,0.6685301301906272,0.730905794364282,0.5712551356364042
All sensors,Gradient Boosting,60,240,0.75,0.6666666666666666,0.6729936729936729,0.6666666666666666,0.6680350301039956,0.7391215106732347,0.5938877862885401
Accelerometer + EMG,RBF SVM,60,189,0.7166666666666667,0.6555555555555556,0.6555555555555556,0.6555555555555556,0.6555555555555556,0.7166666666666667,0.5466666666666666
EMG,Random Forest,60,138,0.7166666666666667,0.6444444444444445,0.6757575757575758,0.6444444444444445,0.6532272325375774,0.7053050397877985,0.5367450401216932
All sensors,XGBoost,60,240,0.7333333333333333,0.6555555555555556,0.6578947368421052,0.6555555555555556,0.6523023522026513,0.7349894760163953,0.5794851308350522
EMG,Extra Trees,60,138,0.7166666666666667,0.6444444444444444,0.6718466718466719,0.6444444444444444,0.650960150960151,0.7003413253413254,0.5355300671579408
