sensor_combination,model,fold,n_train,n_test,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc
Gyroscope,Logistic Regression,1,48,12,0.6666666666666666,0.6666666666666666,0.6444444444444445,0.6666666666666666,0.6277777777777778,0.6708333333333334,0.5218624584427538
Gyroscope,Logistic Regression,2,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Gyroscope,Logistic Regression,3,48,12,0.5833333333333334,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.4000000000000001,0.5000000000000001,0.2906591794880899
Gyroscope,Logistic Regression,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope,Logistic Regression,5,48,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gyroscope,Linear SVM,1,48,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6222222222222222,0.6666666666666666,0.5393598899705937
Gyroscope,Linear SVM,2,48,12,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.8333333333333334,0.8301587301587302,0.830952380952381,0.7416198487095663
Gyroscope,Linear SVM,3,48,12,0.5,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.4000000000000001,0.12456821978060996
Gyroscope,Linear SVM,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope,Linear SVM,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142858,0.9142857142857143,0.8764598212022147
Gyroscope,RBF SVM,1,48,12,0.75,0.7222222222222223,0.7000000000000001,0.7222222222222223,0.6863636363636364,0.7420454545454546,0.6333333333333333
Gyroscope,RBF SVM,2,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Gyroscope,RBF SVM,3,48,12,0.5,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.4000000000000001,0.12456821978060996
Gyroscope,RBF SVM,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope,RBF SVM,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Gyroscope,k-NN,1,48,12,0.6666666666666666,0.6666666666666666,0.6444444444444445,0.6666666666666666,0.6277777777777778,0.6708333333333334,0.5218624584427538
Gyroscope,k-NN,2,48,12,0.8333333333333334,0.7777777777777777,0.8412698412698413,0.7777777777777777,0.7965811965811967,0.8282051282051283,0.7333518105580571
Gyroscope,k-NN,3,48,12,0.5833333333333334,0.4444444444444444,0.3611111111111111,0.4444444444444444,0.3968253968253968,0.5119047619047619,0.30237157840738177
Gyroscope,k-NN,4,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Gyroscope,k-NN,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Gyroscope,Gaussian Naive Bayes,1,48,12,0.5833333333333334,0.5555555555555555,0.5833333333333334,0.5555555555555555,0.5523809523809523,0.6142857142857143,0.3872983346207417
Gyroscope,Gaussian Naive Bayes,2,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope,Gaussian Naive Bayes,3,48,12,0.5833333333333334,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.4000000000000001,0.5000000000000001,0.2906591794880899
Gyroscope,Gaussian Naive Bayes,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope,Gaussian Naive Bayes,5,48,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gyroscope,Random Forest,1,48,12,0.75,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.6708203932499369
Gyroscope,Random Forest,2,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope,Random Forest,3,48,12,0.5833333333333334,0.4444444444444444,0.3968253968253968,0.4444444444444444,0.4188034188034188,0.5448717948717948,0.3142936330963102
Gyroscope,Random Forest,4,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Gyroscope,Random Forest,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Gyroscope,Extra Trees,1,48,12,0.8333333333333334,0.7777777777777778,0.8666666666666667,0.7777777777777778,0.75,0.8125,0.768273325346536
Gyroscope,Extra Trees,2,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope,Extra Trees,3,48,12,0.5833333333333334,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.4000000000000001,0.5000000000000001,0.2906591794880899
Gyroscope,Extra Trees,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope,Extra Trees,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Gyroscope,Gradient Boosting,1,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Gyroscope,Gradient Boosting,2,48,12,0.6666666666666666,0.5555555555555555,0.47222222222222215,0.5555555555555555,0.5079365079365079,0.5952380952380952,0.4535573676110727
Gyroscope,Gradient Boosting,3,48,12,0.5,0.3333333333333333,0.19999999999999998,0.3333333333333333,0.25,0.375,0.09759000729485331
Gyroscope,Gradient Boosting,4,48,12,0.6666666666666666,0.5555555555555555,0.4666666666666666,0.5555555555555555,0.5,0.625,0.48890120703870477
Gyroscope,Gradient Boosting,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Gyroscope,XGBoost,1,48,12,0.8333333333333334,0.8333333333333334,0.8055555555555555,0.8333333333333334,0.810966810966811,0.8354978354978355,0.7501772840114586
Gyroscope,XGBoost,2,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Gyroscope,XGBoost,3,48,12,0.8333333333333334,0.7777777777777777,0.8412698412698413,0.7777777777777777,0.7965811965811965,0.8282051282051283,0.7333518105580571
Gyroscope,XGBoost,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Gyroscope,XGBoost,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Accelerometer,Logistic Regression,1,48,12,0.5,0.49999999999999994,0.5555555555555555,0.49999999999999994,0.48148148148148145,0.5277777777777778,0.3
Accelerometer,Logistic Regression,2,48,12,0.75,0.6666666666666666,0.8055555555555555,0.6666666666666666,0.6746031746031745,0.7202380952380952,0.6047431568147635
Accelerometer,Logistic Regression,3,48,12,0.5833333333333334,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.37777777777777777,0.4833333333333334,0.3012320380383547
Accelerometer,Logistic Regression,4,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Accelerometer,Logistic Regression,5,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Accelerometer,Linear SVM,1,48,12,0.4166666666666667,0.3333333333333333,0.32222222222222224,0.3333333333333333,0.3164983164983165,0.41919191919191917,0.10476454436543674
Accelerometer,Linear SVM,2,48,12,0.75,0.6666666666666666,0.8055555555555555,0.6666666666666666,0.6746031746031745,0.7202380952380952,0.6047431568147635
Accelerometer,Linear SVM,3,48,12,0.5833333333333334,0.4444444444444444,0.3666666666666667,0.4444444444444444,0.3833333333333333,0.47500000000000003,0.3
Accelerometer,Linear SVM,4,48,12,0.8333333333333334,0.7777777777777777,0.8412698412698413,0.7777777777777777,0.7965811965811967,0.8282051282051283,0.7333518105580571
Accelerometer,Linear SVM,5,48,12,0.8333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.8333333333333334,0.7333333333333333
Accelerometer,RBF SVM,1,48,12,0.6666666666666666,0.611111111111111,0.6111111111111112,0.611111111111111,0.6015873015873016,0.6595238095238095,0.47193990372426947
Accelerometer,RBF SVM,2,48,12,0.6666666666666666,0.611111111111111,0.626984126984127,0.611111111111111,0.611965811965812,0.6512820512820513,0.45397969225022583
Accelerometer,RBF SVM,3,48,12,0.5,0.3333333333333333,0.19999999999999998,0.3333333333333333,0.25,0.375,0.09759000729485331
Accelerometer,RBF SVM,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Accelerometer,RBF SVM,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142858,0.9142857142857143,0.8764598212022147
Accelerometer,k-NN,1,48,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6476190476190476,0.6857142857142858,0.5163977794943223
Accelerometer,k-NN,2,48,12,0.6666666666666666,0.611111111111111,0.7083333333333334,0.611111111111111,0.638095238095238,0.6571428571428571,0.4472135954999579
Accelerometer,k-NN,3,48,12,0.5,0.3333333333333333,0.19999999999999998,0.3333333333333333,0.25,0.375,0.09759000729485331
Accelerometer,k-NN,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Accelerometer,k-NN,5,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Accelerometer,Gaussian Naive Bayes,1,48,12,0.5833333333333334,0.5555555555555555,0.5833333333333334,0.5555555555555555,0.5523809523809523,0.6142857142857143,0.3872983346207417
Accelerometer,Gaussian Naive Bayes,2,48,12,0.4166666666666667,0.38888888888888884,0.4166666666666667,0.38888888888888884,0.3904761904761904,0.44285714285714284,0.12909944487358058
Accelerometer,Gaussian Naive Bayes,3,48,12,0.5,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.4000000000000001,0.12909944487358058
Accelerometer,Gaussian Naive Bayes,4,48,12,0.5833333333333334,0.5555555555555555,0.5833333333333334,0.5555555555555555,0.5523809523809523,0.6142857142857143,0.3872983346207417
Accelerometer,Gaussian Naive Bayes,5,48,12,0.6666666666666666,0.6111111111111112,0.5,0.6111111111111112,0.5252525252525252,0.6212121212121212,0.5238227218271837
Accelerometer,Random Forest,1,48,12,0.75,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7157287157287158,0.764069264069264,0.6197116694007702
Accelerometer,Random Forest,2,48,12,0.5833333333333334,0.5,0.4047619047619048,0.5,0.4468864468864469,0.5274725274725275,0.3222516933177448
Accelerometer,Random Forest,3,48,12,0.5,0.3333333333333333,0.19999999999999998,0.3333333333333333,0.25,0.375,0.09759000729485331
Accelerometer,Random Forest,4,48,12,0.6666666666666666,0.611111111111111,0.611111111111111,0.611111111111111,0.6046176046176045,0.6807359307359307,0.48924605479008165
Accelerometer,Random Forest,5,48,12,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9142857142857143,0.8764598212022147
Accelerometer,Extra Trees,1,48,12,0.75,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7157287157287157,0.764069264069264,0.6197116694007702
Accelerometer,Extra Trees,2,48,12,0.6666666666666666,0.611111111111111,0.626984126984127,0.611111111111111,0.611965811965812,0.6512820512820513,0.45397969225022583
Accelerometer,Extra Trees,3,48,12,0.5,0.3333333333333333,0.19999999999999998,0.3333333333333333,0.25,0.375,0.09759000729485331
Accelerometer,Extra Trees,4,48,12,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6571428571428571,0.7428571428571429,0.6067798762169179
Accelerometer,Extra Trees,5,48,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
