sensor_combination,feature_set,model,validation_method,n_samples,n_features,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc
All sensors,Top 10 selected features,Logistic Regression,Leave-One-Subject-Out,60,10,0.9666666666666667,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9666666666666667,0.9466666666666667
Gyroscope + EMG,Top 10 selected features,Logistic Regression,Leave-One-Subject-Out,60,10,0.9333333333333333,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9333333333333333,0.8933333333333333
Gyroscope,Top 10 selected features,Linear SVM,Leave-One-Subject-Out,60,10,0.9,0.8777777777777778,0.8739495798319328,0.8777777777777778,0.8743790181180596,0.9015469754529516,0.8421869174178811
Gyroscope,Top 5 selected features,Linear SVM,Leave-One-Subject-Out,60,5,0.8833333333333333,0.8555555555555555,0.8579365079365079,0.8555555555555555,0.8561488073167718,0.8837782721542455,0.8136950559811175
Accelerometer + EMG,Top 10 selected features,k-NN,Leave-One-Subject-Out,60,10,0.8833333333333333,0.8444444444444444,0.8680555555555555,0.8444444444444444,0.8522500995619277,0.8811230585424135,0.8134892168199608
Gyroscope + EMG,Top 5 selected features,Logistic Regression,Leave-One-Subject-Out,60,5,0.8833333333333333,0.8444444444444444,0.851851851851852,0.8444444444444444,0.8428731762065095,0.8821548821548822,0.8166063177175406
All sensors,Top 5 selected features,Logistic Regression,Leave-One-Subject-Out,60,5,0.8833333333333333,0.8444444444444444,0.851851851851852,0.8444444444444444,0.8428731762065095,0.8821548821548822,0.8166063177175406
Gyroscope + Accelerometer,Top 5 selected features,RBF SVM,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8333333333333334,0.8403993855606758,0.8333333333333334,0.8364801205954399,0.8650650084793667,0.7856065411586588
Gyroscope,All features,XGBoost,Leave-One-Subject-Out,60,51,0.8666666666666667,0.8222222222222223,0.8289909015715468,0.8222222222222223,0.8240286066832868,0.8639230943567273,0.786315892581874
Gyroscope + EMG,All features,XGBoost,Leave-One-Subject-Out,60,189,0.85,0.8111111111111112,0.8119658119658119,0.8111111111111112,0.8082030963386897,0.8519150341184241,0.7639551933922779
Gyroscope + Accelerometer,Top 10 selected features,RBF SVM,Leave-One-Subject-Out,60,10,0.8333333333333334,0.8111111111111112,0.7999999999999999,0.8111111111111112,0.8026581605528974,0.8388357256778308,0.7415617758189319
EMG,Top 10 selected features,Logistic Regression,Leave-One-Subject-Out,60,10,0.8166666666666667,0.7888888888888889,0.7982590885816693,0.7888888888888889,0.7931662584008542,0.8161861692104767,0.7050315112962322
Gyroscope + Accelerometer,All features,Gradient Boosting,Leave-One-Subject-Out,60,102,0.8333333333333334,0.7777777777777777,0.7975357975357976,0.7777777777777777,0.7854406130268199,0.827175697865353,0.7304137141709631
All sensors,All features,Random Forest,Leave-One-Subject-Out,60,240,0.8333333333333334,0.7777777777777777,0.7911324786324786,0.7777777777777777,0.7828981054787506,0.8291090629800307,0.7311329931771584
EMG,Top 5 selected features,Extra Trees,Leave-One-Subject-Out,60,5,0.7666666666666667,0.7333333333333334,0.738300051203277,0.7333333333333334,0.7354940016330632,0.764735255323158,0.6244564814338057
Accelerometer,Top 5 selected features,Linear SVM,Leave-One-Subject-Out,60,5,0.7666666666666667,0.7222222222222222,0.7482350385576192,0.7222222222222222,0.7278714000025475,0.7672150254117468,0.6278626329624626
Accelerometer + EMG,Top 5 selected features,Logistic Regression,Leave-One-Subject-Out,60,5,0.7833333333333333,0.7222222222222222,0.730097187758478,0.7222222222222222,0.724773992092871,0.7812854121024401,0.6519029194909554
Accelerometer,Top 10 selected features,RBF SVM,Leave-One-Subject-Out,60,10,0.7666666666666667,0.7111111111111111,0.7272727272727272,0.7111111111111111,0.7160493827160493,0.7592592592592593,0.6217727134488473
Accelerometer + EMG,All features,Logistic Regression,Leave-One-Subject-Out,60,189,0.7666666666666667,0.7111111111111111,0.7193759224119756,0.7111111111111111,0.7118751264926129,0.7634145415907712,0.6261526089981683
EMG,All features,XGBoost,Leave-One-Subject-Out,60,138,0.75,0.7000000000000001,0.7074074074074074,0.7000000000000001,0.6995510662177328,0.7496632996632997,0.6024144966768742
Accelerometer,All features,Extra Trees,Leave-One-Subject-Out,60,51,0.7333333333333333,0.6777777777777777,0.694949494949495,0.6777777777777777,0.6832451499118166,0.7267195767195765,0.5671113760027948
