sensor_combination,feature_set,model,validation_method,n_samples,n_features,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc
All sensors,Top 10 selected features,Logistic Regression,Leave-One-Subject-Out,60,10,0.9666666666666667,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9666666666666667,0.9466666666666667
All sensors,Top 10 selected features,Linear SVM,Leave-One-Subject-Out,60,10,0.9666666666666667,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9666666666666667,0.9466666666666667
All sensors,Top 10 selected features,RBF SVM,Leave-One-Subject-Out,60,10,0.9666666666666667,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9666666666666667,0.9466666666666667
Gyroscope + EMG,Top 10 selected features,Logistic Regression,Leave-One-Subject-Out,60,10,0.9333333333333333,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9333333333333333,0.8933333333333333
Gyroscope + EMG,Top 10 selected features,Linear SVM,Leave-One-Subject-Out,60,10,0.9333333333333333,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9333333333333333,0.8933333333333333
Gyroscope + EMG,Top 10 selected features,RBF SVM,Leave-One-Subject-Out,60,10,0.9166666666666666,0.888888888888889,0.8898809523809524,0.888888888888889,0.8887652947719689,0.9165739710789768,0.8670521088323383
All sensors,Top 10 selected features,k-NN,Leave-One-Subject-Out,60,10,0.9166666666666666,0.888888888888889,0.8898809523809524,0.888888888888889,0.8887652947719689,0.9165739710789768,0.8670521088323383
Gyroscope,Top 10 selected features,Linear SVM,Leave-One-Subject-Out,60,10,0.9,0.8777777777777778,0.8739495798319328,0.8777777777777778,0.8743790181180596,0.9015469754529516,0.8421869174178811
Gyroscope + EMG,Top 10 selected features,k-NN,Leave-One-Subject-Out,60,10,0.9,0.8666666666666667,0.8702865761689291,0.8666666666666667,0.8660714285714285,0.8995535714285714,0.8414973273915589
Gyroscope,Top 5 selected features,Linear SVM,Leave-One-Subject-Out,60,5,0.8833333333333333,0.8555555555555555,0.8579365079365079,0.8555555555555555,0.8561488073167718,0.8837782721542455,0.8136950559811175
Accelerometer + EMG,Top 10 selected features,k-NN,Leave-One-Subject-Out,60,10,0.8833333333333333,0.8444444444444444,0.8680555555555555,0.8444444444444444,0.8522500995619277,0.8811230585424135,0.8134892168199608
Gyroscope + EMG,Top 5 selected features,Logistic Regression,Leave-One-Subject-Out,60,5,0.8833333333333333,0.8444444444444444,0.851851851851852,0.8444444444444444,0.8428731762065095,0.8821548821548822,0.8166063177175406
All sensors,Top 5 selected features,Logistic Regression,Leave-One-Subject-Out,60,5,0.8833333333333333,0.8444444444444444,0.851851851851852,0.8444444444444444,0.8428731762065095,0.8821548821548822,0.8166063177175406
Accelerometer + EMG,Top 10 selected features,Linear SVM,Leave-One-Subject-Out,60,10,0.8666666666666667,0.8444444444444444,0.837116858237548,0.8444444444444444,0.8403985177085231,0.8675870238746128,0.788442636496008
Gyroscope + Accelerometer,Top 5 selected features,RBF SVM,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8333333333333334,0.8403993855606758,0.8333333333333334,0.8364801205954399,0.8650650084793667,0.7856065411586588
Accelerometer + EMG,Top 10 selected features,Logistic Regression,Leave-One-Subject-Out,60,10,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.7866666666666666
Gyroscope + EMG,Top 10 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,10,0.8666666666666667,0.8222222222222223,0.846986346986347,0.8222222222222223,0.8322386425834702,0.8622742200328407,0.7850240853239323
All sensors,Top 10 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,10,0.8666666666666667,0.8222222222222223,0.8474747474747475,0.8222222222222223,0.8310405643738976,0.8613756613756614,0.785756725787005
Gyroscope,Top 5 selected features,Logistic Regression,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8333333333333334,0.8305322128851541,0.8333333333333334,0.8305571790376,0.8686805961426067,0.7891357730136052
Gyroscope,Top 5 selected features,RBF SVM,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8333333333333334,0.8305322128851541,0.8333333333333334,0.8305571790376,0.8686805961426067,0.7891357730136052
Gyroscope + Accelerometer,Top 5 selected features,Linear SVM,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8222222222222223,0.8355769230769231,0.8222222222222223,0.8273425499231951,0.8624423963133641,0.7852909926717627
Gyroscope + Accelerometer,Top 5 selected features,k-NN,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8222222222222223,0.8355769230769231,0.8222222222222223,0.8273425499231951,0.8624423963133641,0.7852909926717627
Gyroscope + EMG,Top 5 selected features,Random Forest,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8222222222222223,0.8289298515104967,0.8222222222222223,0.8251868601218516,0.864791784435651,0.7856065411586588
All sensors,Top 5 selected features,Random Forest,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8222222222222223,0.8289298515104967,0.8222222222222223,0.8251868601218516,0.864791784435651,0.7856065411586588
Gyroscope + EMG,Top 5 selected features,Linear SVM,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8222222222222223,0.835652540586127,0.8222222222222223,0.82478243270593,0.8644884638737097,0.7877403790622117
All sensors,Top 5 selected features,Linear SVM,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8222222222222223,0.835652540586127,0.8222222222222223,0.82478243270593,0.8644884638737097,0.7877403790622117
Gyroscope + Accelerometer,Top 5 selected features,Extra Trees,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8222222222222223,0.8401292335115865,0.8222222222222223,0.8241832092638545,0.8600728908188586,0.788186084491334
Gyroscope,All features,XGBoost,Leave-One-Subject-Out,60,51,0.8666666666666667,0.8222222222222223,0.8289909015715468,0.8222222222222223,0.8240286066832868,0.8639230943567273,0.786315892581874
Gyroscope + Accelerometer,Top 5 selected features,XGBoost,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8222222222222223,0.8250377073906486,0.8222222222222223,0.8214285714285715,0.8660714285714286,0.7880689256524124
Gyroscope + EMG,Top 5 selected features,XGBoost,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8222222222222223,0.8250377073906486,0.8222222222222223,0.8214285714285715,0.8660714285714286,0.7880689256524124
All sensors,Top 5 selected features,XGBoost,Leave-One-Subject-Out,60,5,0.8666666666666667,0.8222222222222223,0.8250377073906486,0.8222222222222223,0.8214285714285715,0.8660714285714286,0.7880689256524124
Gyroscope,Top 10 selected features,RBF SVM,Leave-One-Subject-Out,60,10,0.85,0.8111111111111112,0.8139265962795376,0.8111111111111112,0.8103174603174604,0.8494047619047619,0.761354724782839
All sensors,Top 10 selected features,XGBoost,Leave-One-Subject-Out,60,10,0.85,0.811111111111111,0.8069444444444445,0.811111111111111,0.8086872000485998,0.8522781119008567,0.7619403630003438
Gyroscope + Accelerometer,Top 5 selected features,Logistic Regression,Leave-One-Subject-Out,60,5,0.85,0.7999999999999999,0.8213453213453213,0.7999999999999999,0.8084291187739464,0.8444170771756979,0.7577188997474478
Gyroscope + EMG,All features,XGBoost,Leave-One-Subject-Out,60,189,0.85,0.8111111111111112,0.8119658119658119,0.8111111111111112,0.8082030963386897,0.8519150341184241,0.7639551933922779
Gyroscope + EMG,Top 10 selected features,XGBoost,Leave-One-Subject-Out,60,10,0.85,0.8111111111111112,0.8119658119658119,0.8111111111111112,0.8082030963386897,0.8519150341184241,0.7639551933922779
Gyroscope,Top 5 selected features,k-NN,Leave-One-Subject-Out,60,5,0.85,0.8111111111111112,0.8227272727272728,0.8111111111111112,0.8060718942074875,0.8503166325200223,0.7687193254049992
Gyroscope + Accelerometer,Top 10 selected features,RBF SVM,Leave-One-Subject-Out,60,10,0.8333333333333334,0.8111111111111112,0.7999999999999999,0.8111111111111112,0.8026581605528974,0.8388357256778308,0.7415617758189319
Gyroscope,Top 5 selected features,Extra Trees,Leave-One-Subject-Out,60,5,0.85,0.7999999999999999,0.8081575682382134,0.7999999999999999,0.8025232303392006,0.8477940620986628,0.7594332979636903
Gyroscope + EMG,Top 10 selected features,Extra Trees,Leave-One-Subject-Out,60,10,0.85,0.7999999999999999,0.8081575682382134,0.7999999999999999,0.8025232303392006,0.8477940620986628,0.7594332979636903
All sensors,Top 10 selected features,Random Forest,Leave-One-Subject-Out,60,10,0.85,0.7999999999999999,0.8081575682382134,0.7999999999999999,0.8025232303392006,0.8477940620986628,0.7594332979636903
All sensors,Top 10 selected features,Extra Trees,Leave-One-Subject-Out,60,10,0.85,0.7999999999999999,0.8081575682382134,0.7999999999999999,0.8025232303392006,0.8477940620986628,0.7594332979636903
Gyroscope + EMG,Top 5 selected features,RBF SVM,Leave-One-Subject-Out,60,5,0.85,0.7999999999999999,0.8078747628083492,0.7999999999999999,0.8000910746812386,0.8459699453551913,0.7608090840515378
Accelerometer + EMG,Top 10 selected features,RBF SVM,Leave-One-Subject-Out,60,10,0.85,0.7999999999999999,0.8078747628083492,0.7999999999999999,0.8000910746812386,0.8459699453551913,0.7608090840515378
All sensors,Top 5 selected features,RBF SVM,Leave-One-Subject-Out,60,5,0.85,0.7999999999999999,0.8078747628083492,0.7999999999999999,0.8000910746812386,0.8459699453551913,0.7608090840515378
EMG,Top 10 selected features,Logistic Regression,Leave-One-Subject-Out,60,10,0.8166666666666667,0.7888888888888889,0.7982590885816693,0.7888888888888889,0.7931662584008542,0.8161861692104767,0.7050315112962322
Gyroscope,Top 5 selected features,XGBoost,Leave-One-Subject-Out,60,5,0.8333333333333334,0.7888888888888889,0.7871148459383753,0.7888888888888889,0.7867353399571401,0.8358142168322619,0.7360846286093291
Gyroscope + Accelerometer,All features,Gradient Boosting,Leave-One-Subject-Out,60,102,0.8333333333333334,0.7777777777777777,0.7975357975357976,0.7777777777777777,0.7854406130268199,0.827175697865353,0.7304137141709631
Gyroscope + EMG,All features,Extra Trees,Leave-One-Subject-Out,60,189,0.8333333333333334,0.7777777777777777,0.7911324786324786,0.7777777777777777,0.7828981054787506,0.8291090629800307,0.7311329931771584
All sensors,All features,Random Forest,Leave-One-Subject-Out,60,240,0.8333333333333334,0.7777777777777777,0.7911324786324786,0.7777777777777777,0.7828981054787506,0.8291090629800307,0.7311329931771584
Gyroscope + EMG,All features,Random Forest,Leave-One-Subject-Out,60,189,0.8333333333333334,0.7777777777777777,0.7828981054787506,0.7777777777777777,0.779976132152503,0.8308837384586395,0.7318898545837078
Gyroscope + EMG,Top 5 selected features,Extra Trees,Leave-One-Subject-Out,60,5,0.8333333333333334,0.7777777777777778,0.7882669196710942,0.7777777777777778,0.7792577413479053,0.8303449453551913,0.7338777890408639
All sensors,Top 5 selected features,Extra Trees,Leave-One-Subject-Out,60,5,0.8333333333333334,0.7777777777777778,0.7882669196710942,0.7777777777777778,0.7792577413479053,0.8303449453551913,0.7338777890408639
Gyroscope + Accelerometer,Top 5 selected features,Random Forest,Leave-One-Subject-Out,60,5,0.8333333333333334,0.7777777777777778,0.7825165425971878,0.7777777777777778,0.7787137065296769,0.82993691924152,0.7325507033455065
Gyroscope + EMG,Top 5 selected features,k-NN,Leave-One-Subject-Out,60,5,0.8333333333333334,0.7777777777777778,0.7825165425971878,0.7777777777777778,0.7787137065296769,0.82993691924152,0.7325507033455065
Gyroscope + EMG,Top 5 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,5,0.8333333333333334,0.7777777777777778,0.7825165425971878,0.7777777777777778,0.7787137065296769,0.82993691924152,0.7325507033455065
Gyroscope + EMG,Top 10 selected features,Random Forest,Leave-One-Subject-Out,60,10,0.8333333333333334,0.7777777777777778,0.7825165425971878,0.7777777777777778,0.7787137065296769,0.82993691924152,0.7325507033455065
All sensors,Top 5 selected features,k-NN,Leave-One-Subject-Out,60,5,0.8333333333333334,0.7777777777777778,0.7825165425971878,0.7777777777777778,0.7787137065296769,0.82993691924152,0.7325507033455065
All sensors,Top 5 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,5,0.8333333333333334,0.7777777777777778,0.7825165425971878,0.7777777777777778,0.7787137065296769,0.82993691924152,0.7325507033455065
Gyroscope + Accelerometer,Top 10 selected features,Logistic Regression,Leave-One-Subject-Out,60,10,0.8166666666666667,0.7777777777777778,0.7819530405737303,0.7777777777777778,0.7767016411084208,0.819814366424536,0.7108104842867281
Gyroscope,Top 10 selected features,Logistic Regression,Leave-One-Subject-Out,60,10,0.8166666666666667,0.7666666666666666,0.7717638544251448,0.7666666666666666,0.767784744781043,0.8135434766185692,0.7056681087273228
Gyroscope + Accelerometer,All features,XGBoost,Leave-One-Subject-Out,60,102,0.8166666666666667,0.7666666666666666,0.7890209394453876,0.7666666666666666,0.7655673416907747,0.8118804243008678,0.711476174659024
Gyroscope + Accelerometer,Top 10 selected features,k-NN,Leave-One-Subject-Out,60,10,0.8166666666666667,0.7666666666666666,0.7678062678062677,0.7666666666666666,0.7641915523271455,0.818906376109766,0.7108104842867281
Gyroscope + EMG,All features,Linear SVM,Leave-One-Subject-Out,60,189,0.8166666666666667,0.7666666666666666,0.7678062678062677,0.7666666666666666,0.7641915523271455,0.818906376109766,0.7108104842867281
Gyroscope + Accelerometer,Top 10 selected features,Extra Trees,Leave-One-Subject-Out,60,10,0.8166666666666667,0.7555555555555555,0.7648809523809524,0.7555555555555555,0.7593622543566926,0.8114571746384872,0.7037315505489968
Gyroscope,Top 5 selected features,Random Forest,Leave-One-Subject-Out,60,5,0.8166666666666667,0.7555555555555555,0.7590885816692268,0.7555555555555555,0.7569876264053765,0.8136423591482947,0.7050315112962322
Gyroscope + EMG,Top 10 selected features,Gradient Boosting,Leave-One-Subject-Out,60,10,0.8166666666666667,0.7555555555555555,0.7590885816692268,0.7555555555555555,0.7569876264053765,0.8136423591482947,0.7050315112962322
All sensors,Top 10 selected features,Gradient Boosting,Leave-One-Subject-Out,60,10,0.8166666666666667,0.7555555555555555,0.7590885816692268,0.7555555555555555,0.7569876264053765,0.8136423591482947,0.7050315112962322
Gyroscope + Accelerometer,Top 5 selected features,Gradient Boosting,Leave-One-Subject-Out,60,5,0.8166666666666667,0.7555555555555555,0.7604891418933164,0.7555555555555555,0.754566383323214,0.8118264268366727,0.70694649403019
EMG,Top 10 selected features,Linear SVM,Leave-One-Subject-Out,60,10,0.7833333333333333,0.7444444444444445,0.7690642690642692,0.7444444444444445,0.7545155993431855,0.7801724137931034,0.6484981574415093
Accelerometer + EMG,Top 10 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,10,0.8166666666666667,0.7555555555555555,0.7716577540106951,0.7555555555555555,0.7541269841269841,0.8036904761904762,0.7070734577443563
EMG,Top 10 selected features,RBF SVM,Leave-One-Subject-Out,60,10,0.7833333333333333,0.7444444444444445,0.7422892720306513,0.7444444444444445,0.7430775773039304,0.7861217422999818,0.6559312690176873
Gyroscope,Top 10 selected features,k-NN,Leave-One-Subject-Out,60,10,0.8,0.7444444444444445,0.7485380116959064,0.7444444444444445,0.7409007545265438,0.8014382777593146,0.6860571089196594
All sensors,All features,XGBoost,Leave-One-Subject-Out,60,240,0.8,0.7444444444444445,0.7485380116959064,0.7444444444444445,0.7409007545265438,0.8014382777593146,0.6860571089196594
Accelerometer + EMG,Top 10 selected features,Extra Trees,Leave-One-Subject-Out,60,10,0.8,0.7333333333333333,0.7544351073762838,0.7333333333333333,0.7399159216687953,0.7893119412515965,0.6756211055961738
Gyroscope + Accelerometer,All features,Extra Trees,Leave-One-Subject-Out,60,102,0.8,0.7333333333333334,0.748085248085248,0.7333333333333334,0.7386425834701696,0.7920771756978654,0.6758033430179939
EMG,Top 5 selected features,Extra Trees,Leave-One-Subject-Out,60,5,0.7666666666666667,0.7333333333333334,0.738300051203277,0.7333333333333334,0.7354940016330632,0.764735255323158,0.6244564814338057
Gyroscope + Accelerometer,Top 10 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,10,0.8,0.7333333333333333,0.7430555555555555,0.7333333333333333,0.7351652727996814,0.7933094384707289,0.6779076806833007
EMG,Top 10 selected features,Extra Trees,Leave-One-Subject-Out,60,10,0.7666666666666667,0.7222222222222222,0.7567693744164332,0.7222222222222222,0.7350601319710516,0.7622325989782887,0.6204683622822005
Gyroscope + EMG,Top 5 selected features,Gradient Boosting,Leave-One-Subject-Out,60,5,0.8,0.7333333333333334,0.7368663594470046,0.7333333333333334,0.7347654041831544,0.796975692481628,0.6781731680087567
All sensors,Top 5 selected features,Gradient Boosting,Leave-One-Subject-Out,60,5,0.8,0.7333333333333334,0.7368663594470046,0.7333333333333334,0.7347654041831544,0.796975692481628,0.6781731680087567
Gyroscope + EMG,All features,Logistic Regression,Leave-One-Subject-Out,60,189,0.7833333333333333,0.7333333333333334,0.747596656217346,0.7333333333333334,0.7310361954429752,0.7855652821754517,0.6617670714356081
Gyroscope,Top 5 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,5,0.8,0.7333333333333334,0.7384055609862061,0.7333333333333334,0.729578254168418,0.793085329970576,0.6818723218194486
Accelerometer,Top 5 selected features,Linear SVM,Leave-One-Subject-Out,60,5,0.7666666666666667,0.7222222222222222,0.7482350385576192,0.7222222222222222,0.7278714000025475,0.7672150254117468,0.6278626329624626
Accelerometer + EMG,Top 5 selected features,Logistic Regression,Leave-One-Subject-Out,60,5,0.7833333333333333,0.7222222222222222,0.730097187758478,0.7222222222222222,0.724773992092871,0.7812854121024401,0.6519029194909554
