epoc (ms),timestamp (+0700),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1638241844278,2021-11-30T10.10.44.278,0.000,-0.366,0.000,-0.366
1638241844288,2021-11-30T10.10.44.288,0.010,-0.305,-0.427,-0.671
1638241844298,2021-11-30T10.10.44.298,0.020,0.061,-0.183,-0.549
1638241844308,2021-11-30T10.10.44.308,0.030,0.000,-0.122,-0.549
1638241844318,2021-11-30T10.10.44.318,0.040,-0.061,-0.122,-0.671
1638241844328,2021-11-30T10.10.44.328,0.050,0.122,-0.122,-0.671
1638241844338,2021-11-30T10.10.44.338,0.060,0.122,-0.122,-0.549
1638241844348,2021-11-30T10.10.44.348,0.070,0.061,-0.061,-0.671
1638241844358,2021-11-30T10.10.44.358,0.080,0.122,-0.122,-0.610
1638241844368,2021-11-30T10.10.44.368,0.090,0.122,-0.061,-0.671
1638241844378,2021-11-30T10.10.44.378,0.100,0.122,-0.061,-0.732
1638241844388,2021-11-30T10.10.44.388,0.110,0.061,-0.122,-0.732
1638241844398,2021-11-30T10.10.44.398,0.120,0.000,0.000,-0.793
1638241844408,2021-11-30T10.10.44.408,0.130,-0.061,0.061,-0.793
1638241844418,2021-11-30T10.10.44.418,0.140,-0.061,0.122,-0.732
1638241844428,2021-11-30T10.10.44.428,0.150,-0.122,0.122,-0.732
1638241844438,2021-11-30T10.10.44.438,0.160,-0.122,0.183,-0.793
1638241844448,2021-11-30T10.10.44.448,0.170,0.000,0.183,-0.732
1638241844458,2021-11-30T10.10.44.458,0.180,0.000,0.061,-0.793
1638241844468,2021-11-30T10.10.44.468,0.190,0.061,0.061,-0.732
1638241844478,2021-11-30T10.10.44.478,0.200,0.061,0.061,-0.732
1638241844488,2021-11-30T10.10.44.488,0.210,0.061,0.000,-0.732
1638241844498,2021-11-30T10.10.44.498,0.220,0.122,0.122,-0.732
1638241844508,2021-11-30T10.10.44.508,0.230,0.061,0.061,-0.732
1638241844518,2021-11-30T10.10.44.518,0.240,-0.061,0.122,-0.732
1638241844528,2021-11-30T10.10.44.528,0.250,0.061,0.122,-0.793
1638241844538,2021-11-30T10.10.44.538,0.260,0.000,0.122,-0.854
1638241844548,2021-11-30T10.10.44.548,0.270,0.000,0.183,-0.671
1638241844558,2021-11-30T10.10.44.558,0.280,0.061,0.183,-0.732
1638241844568,2021-11-30T10.10.44.568,0.290,0.000,0.061,-0.732
1638241844578,2021-11-30T10.10.44.578,0.300,0.061,0.061,-0.610
1638241844588,2021-11-30T10.10.44.588,0.310,0.244,0.000,-0.610
1638241844598,2021-11-30T10.10.44.598,0.320,0.183,-0.061,-0.610
1638241844608,2021-11-30T10.10.44.608,0.330,0.183,0.000,-0.610
1638241844618,2021-11-30T10.10.44.618,0.340,0.244,-0.061,-0.610
1638241844628,2021-11-30T10.10.44.628,0.350,0.366,-0.122,-0.549
1638241844658,2021-11-30T10.10.44.658,0.380,0.244,-0.122,-0.427
1638241844668,2021-11-30T10.10.44.668,0.390,0.244,-0.183,-0.427
1638241844678,2021-11-30T10.10.44.678,0.400,0.244,-0.122,-0.488
1638241844688,2021-11-30T10.10.44.688,0.410,0.244,-0.183,-0.366
1638241844698,2021-11-30T10.10.44.698,0.420,0.244,-0.122,-0.305
1638241844708,2021-11-30T10.10.44.708,0.430,0.122,-0.183,-0.427
1638241844718,2021-11-30T10.10.44.718,0.440,0.183,-0.183,-0.366
1638241844728,2021-11-30T10.10.44.728,0.450,0.305,-0.244,-0.427
1638241844738,2021-11-30T10.10.44.738,0.460,0.305,-0.122,-0.366
1638241844748,2021-11-30T10.10.44.748,0.470,0.305,-0.244,-0.305
1638241844758,2021-11-30T10.10.44.758,0.480,0.366,-0.305,-0.305
1638241844768,2021-11-30T10.10.44.768,0.490,0.427,-0.305,-0.122
1638241844778,2021-11-30T10.10.44.778,0.500,0.549,-0.305,-0.183
1638241844788,2021-11-30T10.10.44.788,0.510,0.549,-0.244,-0.305
1638241844798,2021-11-30T10.10.44.798,0.520,0.610,-0.305,-0.366
1638241844808,2021-11-30T10.10.44.808,0.530,0.671,-0.427,-0.183
1638241844818,2021-11-30T10.10.44.818,0.540,0.671,-0.488,-0.183
1638241844828,2021-11-30T10.10.44.828,0.550,0.732,-0.427,-0.183
1638241844838,2021-11-30T10.10.44.838,0.560,0.610,-0.427,-0.122
1638241844848,2021-11-30T10.10.44.848,0.570,0.610,-0.427,-0.061
1638241844858,2021-11-30T10.10.44.858,0.580,0.793,-0.427,-0.122
1638241844868,2021-11-30T10.10.44.868,0.590,0.793,-0.366,-0.244
1638241844878,2021-11-30T10.10.44.878,0.600,0.854,-0.488,-0.183
1638241844888,2021-11-30T10.10.44.888,0.610,0.793,-0.549,-0.122
1638241844898,2021-11-30T10.10.44.898,0.620,0.854,-0.549,-0.122
1638241844908,2021-11-30T10.10.44.908,0.630,0.854,-0.549,-0.122
1638241844918,2021-11-30T10.10.44.918,0.640,0.732,-0.488,-0.122
1638241844928,2021-11-30T10.10.44.928,0.650,0.793,-0.488,-0.061
1638241844938,2021-11-30T10.10.44.938,0.660,0.854,-0.610,-0.183
1638241844948,2021-11-30T10.10.44.948,0.670,0.732,-0.549,-0.183
1638241844958,2021-11-30T10.10.44.958,0.680,0.793,-0.549,-0.183
1638241844968,2021-11-30T10.10.44.968,0.690,0.854,-0.549,-0.122
1638241844978,2021-11-30T10.10.44.978,0.700,0.793,-0.549,-0.122
1638241844988,2021-11-30T10.10.44.988,0.710,0.793,-0.610,-0.061
1638241844998,2021-11-30T10.10.44.998,0.720,0.793,-0.671,-0.061
1638241845008,2021-11-30T10.10.45.008,0.730,0.732,-0.732,-0.061
1638241845018,2021-11-30T10.10.45.018,0.740,0.671,-0.732,-0.061
1638241845028,2021-11-30T10.10.45.028,0.750,0.610,-0.732,-0.061
1638241845038,2021-11-30T10.10.45.038,0.760,0.549,-0.732,-0.183
1638241845048,2021-11-30T10.10.45.048,0.770,0.610,-0.671,-0.183
1638241845058,2021-11-30T10.10.45.058,0.780,0.671,-0.732,-0.244
1638241845068,2021-11-30T10.10.45.068,0.790,0.549,-0.671,-0.366
1638241845078,2021-11-30T10.10.45.078,0.800,0.366,-0.610,-0.305
1638241845088,2021-11-30T10.10.45.088,0.810,0.427,-0.549,-0.427
1638241845098,2021-11-30T10.10.45.098,0.820,0.427,-0.549,-0.305
1638241845108,2021-11-30T10.10.45.108,0.830,0.427,-0.549,-0.305
1638241845118,2021-11-30T10.10.45.118,0.840,0.366,-0.549,-0.305
1638241845128,2021-11-30T10.10.45.128,0.850,0.488,-0.610,-0.305
1638241845138,2021-11-30T10.10.45.138,0.860,0.488,-0.549,-0.305
1638241845148,2021-11-30T10.10.45.148,0.870,0.549,-0.671,-0.183
1638241845158,2021-11-30T10.10.45.158,0.880,0.549,-0.671,-0.305
1638241845168,2021-11-30T10.10.45.168,0.890,0.549,-0.732,-0.244
1638241845178,2021-11-30T10.10.45.178,0.900,0.488,-0.549,-0.183
1638241845188,2021-11-30T10.10.45.188,0.910,0.549,-0.610,-0.305
1638241845198,2021-11-30T10.10.45.198,0.920,0.549,-0.610,-0.305
1638241845208,2021-11-30T10.10.45.208,0.930,0.366,-0.488,-0.244
1638241845218,2021-11-30T10.10.45.218,0.940,0.305,-0.488,-0.366
1638241845228,2021-11-30T10.10.45.228,0.950,0.305,-0.488,-0.488
1638241845238,2021-11-30T10.10.45.238,0.960,0.183,-0.549,-0.427
1638241845248,2021-11-30T10.10.45.248,0.970,0.183,-0.366,-0.427
1638241845258,2021-11-30T10.10.45.258,0.980,0.366,-0.305,-0.427
1638241845268,2021-11-30T10.10.45.268,0.990,0.427,-0.366,-0.427
1638241845278,2021-11-30T10.10.45.278,1.000,0.366,-0.244,-0.366
1638241845288,2021-11-30T10.10.45.288,1.010,0.427,-0.183,-0.549
1638241845298,2021-11-30T10.10.45.298,1.020,0.427,-0.183,-0.610
1638241845308,2021-11-30T10.10.45.308,1.030,0.427,-0.061,-0.671
1638241845318,2021-11-30T10.10.45.318,1.040,0.427,0.000,-0.671
1638241845328,2021-11-30T10.10.45.328,1.050,0.366,0.061,-0.732
1638241845338,2021-11-30T10.10.45.338,1.060,0.366,0.244,-0.793
1638241845348,2021-11-30T10.10.45.348,1.070,0.244,0.244,-0.732
1638241845358,2021-11-30T10.10.45.358,1.080,0.061,0.244,-0.732
1638241845368,2021-11-30T10.10.45.368,1.090,0.122,0.366,-0.732
1638241845378,2021-11-30T10.10.45.378,1.100,0.305,0.427,-0.793
1638241845388,2021-11-30T10.10.45.388,1.110,0.244,0.427,-0.793
1638241845398,2021-11-30T10.10.45.398,1.120,0.183,0.488,-0.854
1638241845408,2021-11-30T10.10.45.408,1.130,0.183,0.488,-0.793
1638241845418,2021-11-30T10.10.45.418,1.140,0.183,0.549,-0.793
1638241845428,2021-11-30T10.10.45.428,1.150,0.244,0.488,-0.671
1638241845438,2021-11-30T10.10.45.438,1.160,0.244,0.366,-0.732
1638241845448,2021-11-30T10.10.45.448,1.170,0.366,0.427,-0.732
1638241845458,2021-11-30T10.10.45.458,1.180,0.305,0.488,-0.732
1638241845468,2021-11-30T10.10.45.468,1.190,0.427,0.488,-0.671
1638241845478,2021-11-30T10.10.45.478,1.200,0.366,0.427,-0.610
1638241845488,2021-11-30T10.10.45.488,1.210,0.305,0.427,-0.671
1638241845498,2021-11-30T10.10.45.498,1.220,0.427,0.427,-0.610
1638241845508,2021-11-30T10.10.45.508,1.230,0.427,0.427,-0.549
1638241845518,2021-11-30T10.10.45.518,1.240,0.427,0.488,-0.549
1638241845528,2021-11-30T10.10.45.528,1.250,0.366,0.488,-0.610
1638241845538,2021-11-30T10.10.45.538,1.260,0.366,0.427,-0.610
1638241845548,2021-11-30T10.10.45.548,1.270,0.366,0.488,-0.488
1638241845558,2021-11-30T10.10.45.558,1.280,0.366,0.488,-0.427
1638241845568,2021-11-30T10.10.45.568,1.290,0.488,0.427,-0.427
1638241845578,2021-11-30T10.10.45.578,1.300,0.427,0.366,-0.488
1638241845588,2021-11-30T10.10.45.588,1.310,0.366,0.366,-0.427
1638241845598,2021-11-30T10.10.45.598,1.320,0.488,0.366,-0.366
1638241845608,2021-11-30T10.10.45.608,1.330,0.366,0.305,-0.244
1638241845618,2021-11-30T10.10.45.618,1.340,0.305,0.305,-0.244
1638241845628,2021-11-30T10.10.45.628,1.350,0.366,0.244,-0.244
1638241845638,2021-11-30T10.10.45.638,1.360,0.488,0.183,-0.183
1638241845648,2021-11-30T10.10.45.648,1.370,0.488,0.183,-0.122
1638241845658,2021-11-30T10.10.45.658,1.380,0.549,0.183,-0.061
1638241845668,2021-11-30T10.10.45.668,1.390,0.427,0.122,-0.122
1638241845678,2021-11-30T10.10.45.678,1.400,0.366,0.122,-0.061
1638241845688,2021-11-30T10.10.45.688,1.410,0.183,0.183,0.000
1638241845698,2021-11-30T10.10.45.698,1.420,0.244,0.061,0.000
1638241845708,2021-11-30T10.10.45.708,1.430,0.122,-0.061,0.061
1638241845718,2021-11-30T10.10.45.718,1.440,0.305,0.061,0.061
1638241845728,2021-11-30T10.10.45.728,1.450,0.488,0.122,0.000
1638241845738,2021-11-30T10.10.45.738,1.460,0.427,0.061,0.061
1638241845748,2021-11-30T10.10.45.748,1.470,0.427,0.061,0.061
1638241845758,2021-11-30T10.10.45.758,1.480,0.427,-0.061,0.061
1638241845768,2021-11-30T10.10.45.768,1.490,0.488,0.000,0.061
1638241845778,2021-11-30T10.10.45.778,1.500,0.488,0.061,0.061
1638241845788,2021-11-30T10.10.45.788,1.510,0.488,0.000,0.122
1638241845798,2021-11-30T10.10.45.798,1.520,0.610,0.000,0.122
1638241845808,2021-11-30T10.10.45.808,1.530,0.671,0.061,0.061
1638241845818,2021-11-30T10.10.45.818,1.540,0.671,0.061,0.122
1638241845828,2021-11-30T10.10.45.828,1.550,0.488,0.000,0.122
1638241845838,2021-11-30T10.10.45.838,1.560,0.610,0.061,0.122
1638241845848,2021-11-30T10.10.45.848,1.570,0.610,0.000,0.183
1638241845858,2021-11-30T10.10.45.858,1.580,0.671,-0.122,0.122
1638241845868,2021-11-30T10.10.45.868,1.590,0.610,-0.122,0.183
1638241845878,2021-11-30T10.10.45.878,1.600,0.732,-0.122,0.244
1638241845888,2021-11-30T10.10.45.888,1.610,0.732,-0.122,0.244
1638241845898,2021-11-30T10.10.45.898,1.620,0.793,-0.183,0.366
1638241845908,2021-11-30T10.10.45.908,1.630,0.915,-0.183,0.427
1638241845918,2021-11-30T10.10.45.918,1.640,0.915,-0.305,0.427
1638241845928,2021-11-30T10.10.45.928,1.650,0.915,-0.427,0.488
1638241845938,2021-11-30T10.10.45.938,1.660,0.976,-0.549,0.427
1638241845948,2021-11-30T10.10.45.948,1.670,1.098,-0.549,0.549
1638241845958,2021-11-30T10.10.45.958,1.680,1.098,-0.488,0.488
1638241845968,2021-11-30T10.10.45.968,1.690,1.037,-0.427,0.488
1638241845978,2021-11-30T10.10.45.978,1.700,1.037,-0.488,0.549
1638241845988,2021-11-30T10.10.45.988,1.710,1.037,-0.549,0.549
1638241845998,2021-11-30T10.10.45.998,1.720,1.037,-0.671,0.732
1638241846008,2021-11-30T10.10.46.008,1.730,1.037,-0.671,0.793
1638241846018,2021-11-30T10.10.46.018,1.740,1.098,-0.732,0.793
1638241846028,2021-11-30T10.10.46.028,1.750,1.220,-0.671,0.793
1638241846038,2021-11-30T10.10.46.038,1.760,1.159,-0.671,0.732
1638241846048,2021-11-30T10.10.46.048,1.770,1.280,-0.732,0.671
1638241846058,2021-11-30T10.10.46.058,1.780,1.280,-0.793,0.732
1638241846068,2021-11-30T10.10.46.068,1.790,1.280,-0.854,0.854
1638241846078,2021-11-30T10.10.46.078,1.800,1.220,-0.854,0.854
1638241846088,2021-11-30T10.10.46.088,1.810,1.220,-0.854,0.915
1638241846098,2021-11-30T10.10.46.098,1.820,1.280,-0.915,0.976
1638241846108,2021-11-30T10.10.46.108,1.830,1.280,-1.037,0.976
1638241846118,2021-11-30T10.10.46.118,1.840,1.280,-1.037,1.098
1638241846128,2021-11-30T10.10.46.128,1.850,1.280,-1.159,0.976
1638241846138,2021-11-30T10.10.46.138,1.860,1.280,-1.098,0.915
1638241846148,2021-11-30T10.10.46.148,1.870,1.280,-1.159,0.976
1638241846158,2021-11-30T10.10.46.158,1.880,1.220,-1.159,0.976
1638241846168,2021-11-30T10.10.46.168,1.890,1.098,-1.159,0.976
1638241846178,2021-11-30T10.10.46.178,1.900,1.220,-1.098,0.915
1638241846188,2021-11-30T10.10.46.188,1.910,1.280,-1.098,0.915
1638241846198,2021-11-30T10.10.46.198,1.920,1.280,-1.159,0.854
1638241846208,2021-11-30T10.10.46.208,1.930,1.341,-1.037,0.793
1638241846218,2021-11-30T10.10.46.218,1.940,1.402,-1.037,0.732
1638241846228,2021-11-30T10.10.46.228,1.950,1.463,-1.098,0.671
1638241846238,2021-11-30T10.10.46.238,1.960,1.280,-1.037,0.671
1638241846248,2021-11-30T10.10.46.248,1.970,1.280,-1.037,0.732
1638241846258,2021-11-30T10.10.46.258,1.980,1.220,-1.098,0.671
1638241846268,2021-11-30T10.10.46.268,1.990,1.220,-1.037,0.671
1638241846278,2021-11-30T10.10.46.278,2.000,1.220,-1.098,0.671
1638241846288,2021-11-30T10.10.46.288,2.010,1.280,-1.159,0.610
1638241846298,2021-11-30T10.10.46.298,2.020,1.220,-1.220,0.671
1638241846308,2021-11-30T10.10.46.308,2.030,1.159,-1.220,0.671
1638241846318,2021-11-30T10.10.46.318,2.040,1.098,-1.159,0.671
1638241846328,2021-11-30T10.10.46.328,2.050,1.098,-1.159,0.610
1638241846338,2021-11-30T10.10.46.338,2.060,1.098,-1.159,0.671
1638241846348,2021-11-30T10.10.46.348,2.070,1.037,-1.220,0.610
1638241846358,2021-11-30T10.10.46.358,2.080,1.098,-1.159,0.549
1638241846368,2021-11-30T10.10.46.368,2.090,1.159,-1.037,0.549
1638241846378,2021-11-30T10.10.46.378,2.100,1.159,-0.976,0.610
1638241846388,2021-11-30T10.10.46.388,2.110,1.159,-1.098,0.610
1638241846398,2021-11-30T10.10.46.398,2.120,1.220,-1.098,0.549
1638241846408,2021-11-30T10.10.46.408,2.130,1.220,-1.159,0.610
1638241846418,2021-11-30T10.10.46.418,2.140,1.098,-1.159,0.671
1638241846428,2021-11-30T10.10.46.428,2.150,0.976,-1.159,0.671
1638241846438,2021-11-30T10.10.46.438,2.160,0.976,-1.220,0.610
1638241846448,2021-11-30T10.10.46.448,2.170,0.976,-1.220,0.671
1638241846458,2021-11-30T10.10.46.458,2.180,0.915,-1.280,0.732
1638241846468,2021-11-30T10.10.46.468,2.190,0.976,-1.341,0.732
1638241846478,2021-11-30T10.10.46.478,2.200,0.915,-1.402,0.732
1638241846488,2021-11-30T10.10.46.488,2.210,1.037,-1.402,0.732
1638241846498,2021-11-30T10.10.46.498,2.220,1.159,-1.463,0.854
1638241846508,2021-11-30T10.10.46.508,2.230,1.159,-1.463,0.915
1638241846518,2021-11-30T10.10.46.518,2.240,1.220,-1.524,0.915
1638241846528,2021-11-30T10.10.46.528,2.250,1.159,-1.585,0.976
1638241846538,2021-11-30T10.10.46.538,2.260,1.037,-1.585,0.976
1638241846548,2021-11-30T10.10.46.548,2.270,1.159,-1.646,0.915
1638241846558,2021-11-30T10.10.46.558,2.280,1.159,-1.585,0.854
1638241846568,2021-11-30T10.10.46.568,2.290,1.098,-1.646,0.854
1638241846578,2021-11-30T10.10.46.578,2.300,1.037,-1.646,0.854
1638241846588,2021-11-30T10.10.46.588,2.310,1.037,-1.646,0.854
1638241846598,2021-11-30T10.10.46.598,2.320,1.037,-1.707,0.793
1638241846608,2021-11-30T10.10.46.608,2.330,0.976,-1.768,0.793
1638241846618,2021-11-30T10.10.46.618,2.340,1.159,-1.768,0.854
1638241846628,2021-11-30T10.10.46.628,2.350,1.159,-1.829,0.793
1638241846638,2021-11-30T10.10.46.638,2.360,1.159,-1.707,0.854
1638241846648,2021-11-30T10.10.46.648,2.370,0.976,-1.646,0.915
1638241846658,2021-11-30T10.10.46.658,2.380,0.915,-1.646,0.793
1638241846668,2021-11-30T10.10.46.668,2.390,1.037,-1.707,0.976
1638241846678,2021-11-30T10.10.46.678,2.400,0.915,-1.768,1.037
1638241846688,2021-11-30T10.10.46.688,2.410,0.793,-1.585,1.098
1638241846698,2021-11-30T10.10.46.698,2.420,0.976,-1.585,1.037
1638241846708,2021-11-30T10.10.46.708,2.430,0.915,-1.646,1.037
1638241846718,2021-11-30T10.10.46.718,2.440,0.915,-1.646,1.098
1638241846728,2021-11-30T10.10.46.728,2.450,1.037,-1.707,0.976
1638241846738,2021-11-30T10.10.46.738,2.460,0.915,-1.646,0.976
1638241846748,2021-11-30T10.10.46.748,2.470,0.915,-1.646,0.854
1638241846758,2021-11-30T10.10.46.758,2.480,0.915,-1.707,0.915
